,station,month,hour,min,altm,tmp,dew,rh,dir,spd,date
0,RPLL,01,00,00,1014.0, 26, 26,100,360,  4,2017-01-01T00:00:00
1,RPLL,31,23,00,1013.0, 25, 25,100, 20,  3,2017-01-01T23:00:00
2,RPLL,31,22,00,1013.0, 25, 25,100, 10,  4,2017-01-01T22:00:00
3,RPLL,31,21,00,1012.0, 25, 25,100,330,  2,2017-01-01T21:00:00
4,RPLL,31,20,00,1012.0, 25, 25,100,340,  2,2017-01-01T20:00:00
5,RPLL,31,19,00,1012.0, 25, 25,100,  0,  0,2017-01-01T19:00:00
6,RPLL,31,18,00,1013.0, 25, 25,100,310,  2,2017-01-01T18:00:00
7,RPLL,31,17,00,1013.0, 25, 25,100,   ,  1,2017-01-01T17:00:00
8,RPLL,31,16,00,1014.0, 25, 25,100, 70,  2,2017-01-01T16:00:00
9,RPLL,31,15,00,1013.0, 27, 24, 84,100,  2,2017-01-01T15:00:00
10,RPLL,31,14,00,1013.0, 27, 24, 84,350,  2,2017-01-01T14:00:00
11,RPLL,31,13,00,1013.0, 26, 25, 94,  0,  0,2017-01-01T13:00:00
12,RPLL,31,12,00,1013.0, 27, 24, 84, 10,  3,2017-01-01T12:00:00
13,RPLL,31,11,00,1012.0, 26, 26,100,   ,  1,2017-01-01T11:00:00
14,RPLL,31,10,00,1012.0, 26, 26,100,   ,  1,2017-01-01T10:00:00
15,RPLL,31,09,00,1011.0, 29, 24, 74,360,  3,2017-01-01T09:00:00
16,RPLL,31,08,00,1011.0, 29, 24, 74, 10,  4,2017-01-01T08:00:00
17,RPLL,31,07,00,1010.0, 30, 22, 62, 70,  7,2017-01-01T07:00:00
18,RPLL,31,06,00,1011.0, 30, 22, 62, 80,  5,2017-01-01T06:00:00
19,RPLL,31,05,00,1012.0, 30, 24, 70, 30,  4,2017-01-01T05:00:00
20,RPLL,31,04,00,1013.0, 28, 26, 89,   ,  1,2017-01-01T04:00:00
21,RPLL,31,03,00,1014.0, 26, 26,100,   ,  1,2017-01-01T03:00:00
22,RPLL,31,02,00,1014.0, 26, 26,100,   ,  1,2017-01-01T02:00:00
23,RPLL,31,01,00,1014.0, 28, 22, 70,   ,  1,2017-01-01T01:00:00
24,RPLL,31,00,00,1014.0, 27, 22, 74, 50,  2,2017-01-01T00:00:00
25,RPLL,02,00,00,1013.0, 26, 23, 84, 70,  3,2017-01-02T00:00:00
26,RPLL,01,23,00,1013.0, 25, 22, 83, 80,  3,2017-01-02T23:00:00
27,RPLL,01,22,00,1012.0, 24, 23, 94, 30,  4,2017-01-02T22:00:00
28,RPLL,01,21,00,1013.0, 24, 23, 94, 40,  2,2017-01-02T21:00:00
29,RPLL,01,20,00,1012.0, 25, 22, 83, 10,  3,2017-01-02T20:00:00
30,RPLL,01,19,00,1012.0, 24, 21, 83, 30,  2,2017-01-02T19:00:00
31,RPLL,01,18,00,1013.0, 25, 21, 78, 10,  4,2017-01-02T18:00:00
32,RPLL,01,17,00,1013.0, 26, 20, 70,   ,  1,2017-01-02T17:00:00
33,RPLL,01,16,00,1014.0, 26, 20, 70,   ,  1,2017-01-02T16:00:00
34,RPLL,01,15,00,1014.0, 26, 20, 70, 80,  2,2017-01-02T15:00:00
35,RPLL,01,14,00,1014.0, 27, 20, 66, 70,  4,2017-01-02T14:00:00
36,RPLL,01,13,00,1014.0, 27, 20, 66,110,  2,2017-01-02T13:00:00
37,RPLL,01,12,00,1013.0, 27, 21, 70, 80,  4,2017-01-02T12:00:00
38,RPLL,01,11,00,1013.0, 27, 22, 74, 90,  3,2017-01-02T11:00:00
39,RPLL,01,10,00,1012.0, 27, 22, 74,110,  4,2017-01-02T10:00:00
40,RPLL,01,09,00,1012.0, 28, 22, 70,110,  5,2017-01-02T09:00:00
41,RPLL,01,08,00,1011.0, 30, 20, 55,100,  5,2017-01-02T08:00:00
42,RPLL,01,07,00,1011.0, 30, 20, 55, 80,  6,2017-01-02T07:00:00
43,RPLL,01,06,00,1011.0, 31, 20, 52, 80,  8,2017-01-02T06:00:00
44,RPLL,01,05,00,1012.0, 31, 20, 52, 70,  8,2017-01-02T05:00:00
45,RPLL,01,04,00,1013.0, 31, 21, 55, 80,  6,2017-01-02T04:00:00
46,RPLL,01,03,00,1013.0, 31, 22, 59, 80,  7,2017-01-02T03:00:00
47,RPLL,01,02,00,1014.0, 28, 24, 79,   ,  3,2017-01-02T02:00:00
48,RPLL,01,01,00,1015.0, 27, 25, 89,  0,  0,2017-01-02T01:00:00
49,RPLL,01,00,00,1014.0, 26, 26,100,360,  4,2017-01-02T00:00:00
50,RPLL,03,00,00,1013.0, 28, 21, 66,  0,  0,2017-01-03T00:00:00
51,RPLL,02,23,00,1012.0, 25, 23, 89,  0,  0,2017-01-03T23:00:00
52,RPLL,02,22,00,1012.0, 26, 21, 74,320,  2,2017-01-03T22:00:00
53,RPLL,02,21,00,1012.0, 26, 22, 79,  0,  0,2017-01-03T21:00:00
54,RPLL,02,20,00,1011.0, 25, 22, 83,   ,  1,2017-01-03T20:00:00
55,RPLL,02,19,00,1011.0, 26, 21, 74,  0,  0,2017-01-03T19:00:00
56,RPLL,02,18,00,1012.0, 26, 21, 74,   ,  1,2017-01-03T18:00:00
57,RPLL,02,17,00,      , 27, 21, 70,   ,  1,2017-01-03T17:00:00
58,RPLL,02,16,00,1012.0, 26, 20, 70, 40,  2,2017-01-03T16:00:00
59,RPLL,02,15,00,1012.0, 26, 20, 70, 70,  1,2017-01-03T15:00:00
60,RPLL,02,14,00,1013.0, 26, 19, 65, 90,  2,2017-01-03T14:00:00
61,RPLL,02,13,00,1013.0, 26, 19, 65, 50,  3,2017-01-03T13:00:00
62,RPLL,02,12,00,1012.0, 28, 19, 58, 80,  5,2017-01-03T12:00:00
63,RPLL,02,11,00,1012.0, 28, 19, 58, 70,  5,2017-01-03T11:00:00
64,RPLL,02,10,00,1011.0, 28, 19, 58, 90,  4,2017-01-03T10:00:00
65,RPLL,02,09,00,1010.0, 29, 20, 58, 80,  4,2017-01-03T09:00:00
66,RPLL,02,08,00,1010.0, 30, 20, 55,100,  5,2017-01-03T08:00:00
67,RPLL,02,07,00,1010.0, 30, 19, 52, 90,  5,2017-01-03T07:00:00
68,RPLL,02,06,00,1011.0, 31, 19, 49, 90,  5,2017-01-03T06:00:00
69,RPLL,02,05,00,1011.0, 30, 19, 52,100,  5,2017-01-03T05:00:00
70,RPLL,02,04,00,1012.0, 30, 19, 52, 70,  2,2017-01-03T04:00:00
71,RPLL,02,03,00,1013.0, 29, 19, 55,   ,  2,2017-01-03T03:00:00
72,RPLL,02,02,00,1013.0, 29, 21, 62,310,  3,2017-01-03T02:00:00
73,RPLL,02,01,00,1014.0, 28, 21, 66, 70,  2,2017-01-03T01:00:00
74,RPLL,02,00,00,1013.0, 26, 23, 84, 70,  3,2017-01-03T00:00:00
75,RPLL,04,00,00,1012.0, 28, 21, 66, 90,  2,2017-01-04T00:00:00
76,RPLL,03,23,00,1012.0, 26, 22, 79,  0,  0,2017-01-04T23:00:00
77,RPLL,03,22,00,1011.0, 26, 22, 79,   ,  1,2017-01-04T22:00:00
78,RPLL,03,21,00,1011.0, 26, 22, 79, 60,  2,2017-01-04T21:00:00
79,RPLL,03,20,00,1011.0, 26, 21, 74,120,  2,2017-01-04T20:00:00
80,RPLL,03,19,00,1011.0, 25, 22, 83,   ,  1,2017-01-04T19:00:00
81,RPLL,03,18,00,1011.0, 25, 21, 78,360,  2,2017-01-04T18:00:00
82,RPLL,03,17,00,1012.0, 25, 21, 78,  0,  0,2017-01-04T17:00:00
83,RPLL,03,16,00,1012.0, 26, 20, 70,   ,  1,2017-01-04T16:00:00
84,RPLL,03,15,00,1013.0, 27, 20, 66,110,  2,2017-01-04T15:00:00
85,RPLL,03,14,00,1013.0, 27, 21, 70,110,  2,2017-01-04T14:00:00
86,RPLL,03,13,00,1013.0, 27, 20, 66, 80,  2,2017-01-04T13:00:00
87,RPLL,03,12,00,1012.0, 28, 20, 62, 90,  2,2017-01-04T12:00:00
88,RPLL,03,11,00,1012.0, 28, 19, 58, 20,  4,2017-01-04T11:00:00
89,RPLL,03,10,00,1011.0, 29, 19, 55, 70,  6,2017-01-04T10:00:00
90,RPLL,03,09,00,1011.0, 30, 19, 52, 80,  5,2017-01-04T09:00:00
91,RPLL,03,08,00,1010.0, 31, 20, 52, 80,  6,2017-01-04T08:00:00
92,RPLL,03,07,00,1010.0, 31, 20, 52, 60,  6,2017-01-04T07:00:00
93,RPLL,03,06,00,1010.0, 32, 20, 49, 90,  5,2017-01-04T06:00:00
94,RPLL,03,05,00,1010.0, 32, 19, 46,100,  6,2017-01-04T05:00:00
95,RPLL,03,04,00,1011.0, 32, 19, 46, 70,  8,2017-01-04T04:00:00
96,RPLL,03,03,00,1012.0, 31, 20, 52, 80,  5,2017-01-04T03:00:00
97,RPLL,03,02,00,1013.0, 31, 20, 52,100,  4,2017-01-04T02:00:00
98,RPLL,03,01,00,1013.0, 29, 20, 58, 80,  3,2017-01-04T01:00:00
99,RPLL,03,00,00,1013.0, 28, 21, 66,  0,  0,2017-01-04T00:00:00
100,RPLL,05,00,00,1012.0, 26, 25, 94,  0,  0,2017-01-05T00:00:00
101,RPLL,04,23,00,1011.0, 25, 25,100,  0,  0,2017-01-05T23:00:00
102,RPLL,04,22,00,1011.0, 25, 25,100,   ,  1,2017-01-05T22:00:00
103,RPLL,04,21,00,1010.0, 24, 24,100,   ,  1,2017-01-05T21:00:00
104,RPLL,04,20,00,1010.0, 25, 24, 94,   ,  1,2017-01-05T20:00:00
105,RPLL,04,19,00,1010.0, 26, 23, 84,350,  2,2017-01-05T19:00:00
106,RPLL,04,18,00,1011.0, 26, 22, 79,  0,  0,2017-01-05T18:00:00
107,RPLL,04,17,00,1011.0, 27, 22, 74,120,  2,2017-01-05T17:00:00
108,RPLL,04,16,00,1011.0, 27, 22, 74,  0,  0,2017-01-05T16:00:00
109,RPLL,04,15,00,1011.0, 26, 23, 84,  0,  0,2017-01-05T15:00:00
110,RPLL,04,14,00,1012.0, 27, 22, 74,110,  2,2017-01-05T14:00:00
111,RPLL,04,13,00,1012.0, 27, 21, 70,100,  2,2017-01-05T13:00:00
112,RPLL,04,12,00,1011.0, 27, 20, 66,100,  3,2017-01-05T12:00:00
113,RPLL,04,11,00,1011.0, 28, 20, 62, 80,  5,2017-01-05T11:00:00
114,RPLL,04,10,00,1010.0, 28, 21, 66, 80,  4,2017-01-05T10:00:00
115,RPLL,04,09,00,1010.0, 28, 23, 74,120,  3,2017-01-05T09:00:00
116,RPLL,04,08,00,1009.0, 29, 22, 66,130,  4,2017-01-05T08:00:00
117,RPLL,04,07,00,1009.0, 30, 21, 59, 90,  6,2017-01-05T07:00:00
118,RPLL,04,06,00,1009.0, 31, 20, 52,110,  5,2017-01-05T06:00:00
119,RPLL,04,05,00,1010.0, 31, 21, 55, 80,  7,2017-01-05T05:00:00
120,RPLL,04,04,00,1011.0, 31, 21, 55, 80,  6,2017-01-05T04:00:00
121,RPLL,04,03,00,1012.0, 31, 22, 59,120,  3,2017-01-05T03:00:00
122,RPLL,04,02,00,1012.0, 30, 22, 62,   ,  3,2017-01-05T02:00:00
123,RPLL,04,01,00,1012.0, 29, 21, 62,   ,  3,2017-01-05T01:00:00
124,RPLL,04,00,00,1012.0, 28, 21, 66, 90,  2,2017-01-05T00:00:00
125,RPLL,06,00,00,1012.0, 27, 20, 66,   ,  1,2017-01-06T00:00:00
126,RPLL,05,23,00,1011.0, 24, 22, 89, 70,  1,2017-01-06T23:00:00
127,RPLL,05,22,00,1011.0, 24, 23, 94,  0,  0,2017-01-06T22:00:00
128,RPLL,05,21,00,1010.0, 23, 22, 94, 70,  1,2017-01-06T21:00:00
129,RPLL,05,20,00,1010.0, 24, 22, 89, 60,  2,2017-01-06T20:00:00
130,RPLL,05,19,00,1010.0, 25, 22, 83,  0,  0,2017-01-06T19:00:00
131,RPLL,05,18,00,1011.0, 26, 22, 79, 60,  2,2017-01-06T18:00:00
132,RPLL,05,17,00,1011.0, 25, 22, 83, 90,  3,2017-01-06T17:00:00
133,RPLL,05,16,00,1012.0, 26, 22, 79, 80,  3,2017-01-06T16:00:00
134,RPLL,05,15,00,1012.0, 26, 22, 79,110,  2,2017-01-06T15:00:00
