,station,month,hour,min,altm,tmp,dew,rh,dir,spd,date
0,,1,0,0,1012.0,25,20.0,74.0,300.0,2.0,1514764800000000000
1,,31,23,0,1011.0,29,22.0,66.0,280.0,2.0,1514847600000000000
2,,31,22,0,1011.0,23,21.0,89.0,290.0,2.0,1514844000000000000
3,,31,21,0,1011.0,23,21.0,89.0,0.0,0.0,1514840400000000000
4,,31,20,0,1010.0,24,21.0,83.0,340.0,2.0,1514836800000000000
5,,31,19,0,1010.0,24,21.0,83.0,330.0,2.0,1514833200000000000
6,,31,18,0,1011.0,25,19.0,69.0,70.0,2.0,1514829600000000000
7,,31,17,0,1011.0,25,20.0,74.0,0.0,0.0,1514826000000000000
8,,31,16,0,1012.0,25,20.0,74.0,60.0,2.0,1514822400000000000
9,,31,15,0,1012.0,25,20.0,74.0,60.0,2.0,1514818800000000000
10,,31,14,0,1012.0,25,21.0,78.0,0.0,0.0,1514815200000000000
11,,31,13,0,1012.0,26,21.0,74.0,60.0,2.0,1514811600000000000
12,,31,12,0,1012.0,26,20.0,70.0,60.0,3.0,1514808000000000000
13,,31,11,0,1011.0,26,19.0,65.0,50.0,5.0,1514804400000000000
14,,31,10,0,1011.0,27,19.0,62.0,70.0,4.0,1514800800000000000
15,,31,9,0,1010.0,28,19.0,58.0,80.0,4.0,1514797200000000000
16,,31,8,0,1009.0,29,20.0,58.0,70.0,5.0,1514793600000000000
17,,31,7,0,1009.0,30,20.0,55.0,70.0,4.0,1514790000000000000
18,,31,6,0,1010.0,30,20.0,55.0,60.0,5.0,1514786400000000000
19,,31,5,0,1011.0,30,21.0,59.0,70.0,3.0,1514782800000000000
20,,31,4,0,1012.0,29,21.0,62.0,300.0,2.0,1514779200000000000
21,,31,3,0,1013.0,27,22.0,74.0,280.0,4.0,1514775600000000000
22,,31,2,0,1013.0,27,22.0,74.0,290.0,3.0,1514772000000000000
23,,31,1,0,1014.0,27,21.0,70.0,,1.0,1514768400000000000
24,,31,0,0,1013.0,26,22.0,79.0,290.0,2.0,1514764800000000000
25,,2,0,0,1011.0,26,22.0,79.0,60.0,4.0,1514851200000000000
26,,1,23,0,1010.0,25,22.0,83.0,60.0,2.0,1514934000000000000
27,,1,22,0,1010.0,24,21.0,83.0,10.0,2.0,1514930400000000000
28,,1,21,0,1010.0,24,23.0,94.0,30.0,1.0,1514926800000000000
29,,1,20,0,1009.0,25,22.0,83.0,80.0,2.0,1514923200000000000
30,,1,19,0,1010.0,25,23.0,89.0,70.0,2.0,1514919600000000000
31,,1,18,0,1010.0,25,23.0,89.0,70.0,2.0,1514916000000000000
32,,1,17,0,1010.0,26,21.0,74.0,70.0,2.0,1514912400000000000
33,,1,16,0,1010.0,26,22.0,79.0,,1.0,1514908800000000000
34,,1,15,0,1011.0,26,20.0,70.0,70.0,2.0,1514905200000000000
35,,1,14,0,1011.0,27,26.0,94.0,70.0,4.0,1514901600000000000
36,,1,13,0,1011.0,27,21.0,70.0,50.0,3.0,1514898000000000000
37,,1,12,0,1011.0,27,21.0,70.0,60.0,3.0,1514894400000000000
38,,1,11,0,1010.0,29,21.0,62.0,70.0,3.0,1514890800000000000
39,,1,10,0,1009.0,27,21.0,70.0,50.0,4.0,1514887200000000000
40,,1,9,0,1009.0,28,21.0,66.0,60.0,5.0,1514883600000000000
41,,1,8,0,1008.0,29,20.0,58.0,70.0,5.0,1514880000000000000
42,,1,7,0,1008.0,29,20.0,58.0,70.0,1.0,1514876400000000000
43,,1,6,0,1009.0,29,20.0,58.0,70.0,6.0,1514872800000000000
44,,1,5,0,1010.0,29,20.0,58.0,80.0,6.0,1514869200000000000
45,,1,4,0,1011.0,29,21.0,62.0,70.0,3.0,1514865600000000000
46,,1,3,0,1012.0,29,20.0,58.0,30.0,2.0,1514862000000000000
47,,1,2,0,1012.0,28,21.0,66.0,50.0,2.0,1514858400000000000
48,,1,1,0,1012.0,27,19.0,62.0,290.0,2.0,1514854800000000000
49,,1,0,0,1012.0,25,20.0,74.0,300.0,2.0,1514851200000000000
50,,3,0,0,1012.0,26,21.0,74.0,340.0,2.0,1514937600000000000
51,,2,23,0,1011.0,25,21.0,78.0,10.0,2.0,1515020400000000000
52,,2,22,0,1010.0,25,20.0,74.0,10.0,3.0,1515016800000000000
53,,2,21,0,1010.0,25,20.0,74.0,40.0,2.0,1515013200000000000
54,,2,20,0,1010.0,25,20.0,74.0,20.0,2.0,1515009600000000000
55,,2,19,0,1009.0,25,22.0,83.0,60.0,1.0,1515006000000000000
56,,2,18,0,1010.0,25,22.0,83.0,,1.0,1515002400000000000
57,,2,17,0,1010.0,26,22.0,79.0,70.0,2.0,1514998800000000000
58,,2,16,0,1011.0,26,21.0,74.0,70.0,2.0,1514995200000000000
59,,2,15,0,1011.0,27,21.0,70.0,70.0,4.0,1514991600000000000
60,,2,14,0,1010.0,27,20.0,66.0,60.0,2.0,1514988000000000000
61,,2,13,0,1010.0,27,20.0,66.0,70.0,5.0,1514984400000000000
62,,2,12,0,1010.0,27,20.0,66.0,60.0,2.0,1514980800000000000
63,,2,11,0,1009.0,27,19.0,62.0,70.0,5.0,1514977200000000000
64,,2,10,0,1009.0,28,29.0,106.0,70.0,5.0,1514973600000000000
65,,2,9,0,1009.0,28,20.0,62.0,70.0,5.0,1514970000000000000
66,,2,8,0,1008.0,28,19.0,58.0,70.0,5.0,1514966400000000000
67,,2,7,0,1008.0,28,19.0,58.0,70.0,7.0,1514962800000000000
68,,2,6,0,1009.0,29,19.0,55.0,50.0,6.0,1514959200000000000
69,,2,5,0,1010.0,29,19.0,55.0,70.0,7.0,1514955600000000000
70,,2,4,0,1011.0,29,21.0,62.0,40.0,4.0,1514952000000000000
71,,2,3,0,1012.0,29,20.0,58.0,70.0,7.0,1514948400000000000
72,,2,2,0,1012.0,28,20.0,62.0,70.0,6.0,1514944800000000000
73,,2,1,0,1012.0,27,20.0,66.0,60.0,2.0,1514941200000000000
74,,2,0,0,1011.0,26,22.0,79.0,60.0,4.0,1514937600000000000
75,,4,0,0,1012.0,26,24.0,89.0,280.0,2.0,1515024000000000000
76,,3,23,0,1011.0,26,24.0,89.0,,1.0,1515106800000000000
77,,3,22,0,1011.0,25,25.0,100.0,,1.0,1515103200000000000
78,,3,21,0,1011.0,25,24.0,94.0,,1.0,1515099600000000000
79,,3,20,0,1010.0,25,24.0,94.0,0.0,0.0,1515096000000000000
80,,3,19,0,1010.0,25,24.0,94.0,0.0,0.0,1515092400000000000
81,,3,18,0,1011.0,25,24.0,94.0,,1.0,1515088800000000000
82,,3,17,0,1011.0,25,24.0,94.0,70.0,1.0,1515085200000000000
83,,3,16,0,1012.0,25,24.0,94.0,70.0,1.0,1515081600000000000
84,,3,15,0,1012.0,25,23.0,89.0,70.0,1.0,1515078000000000000
85,,3,14,0,1012.0,26,22.0,79.0,60.0,2.0,1515074400000000000
86,,3,13,0,1012.0,26,22.0,79.0,50.0,2.0,1515070800000000000
87,,3,12,0,1012.0,26,22.0,79.0,30.0,2.0,1515067200000000000
88,,3,11,0,1012.0,26,21.0,74.0,60.0,3.0,1515063600000000000
89,,3,10,0,1011.0,27,20.0,66.0,70.0,4.0,1515060000000000000
90,,3,9,0,1010.0,28,19.0,58.0,70.0,6.0,1515056400000000000
91,,3,8,0,1010.0,28,22.0,70.0,60.0,3.0,1515052800000000000
92,,3,7,0,1010.0,28,21.0,66.0,60.0,4.0,1515049200000000000
93,,3,6,0,1010.0,29,20.0,58.0,70.0,5.0,1515045600000000000
94,,3,5,0,1010.0,29,22.0,66.0,60.0,4.0,1515042000000000000
95,,3,4,0,1010.0,30,20.0,55.0,80.0,7.0,1515038400000000000
96,,3,3,0,1011.0,30,20.0,55.0,50.0,4.0,1515034800000000000
97,,3,2,0,1012.0,28,22.0,70.0,,1.0,1515031200000000000
98,,3,1,0,1012.0,27,21.0,70.0,340.0,2.0,1515027600000000000
99,,3,0,0,1012.0,26,21.0,74.0,340.0,2.0,1515024000000000000
100,,5,0,0,1012.0,27,25.0,89.0,10.0,2.0,1515110400000000000
101,,4,23,0,1011.0,26,26.0,100.0,290.0,2.0,1515193200000000000
102,,4,22,0,1010.0,26,26.0,100.0,,1.0,1515189600000000000
103,,4,21,0,1010.0,25,25.0,100.0,0.0,0.0,1515186000000000000
104,,4,20,0,1010.0,26,25.0,94.0,,1.0,1515182400000000000
105,,4,19,0,1009.0,25,25.0,100.0,60.0,3.0,1515178800000000000
106,,4,18,0,1010.0,26,26.0,100.0,70.0,2.0,1515175200000000000
107,,4,17,0,1010.0,26,24.0,89.0,60.0,2.0,1515171600000000000
108,,4,16,0,1011.0,26,25.0,94.0,70.0,2.0,1515168000000000000
109,,4,15,0,1011.0,27,24.0,84.0,70.0,3.0,1515164400000000000
110,,4,14,0,1012.0,27,23.0,79.0,60.0,2.0,1515160800000000000
111,,4,13,0,1012.0,27,23.0,79.0,70.0,3.0,1515157200000000000
112,,4,12,0,1012.0,27,24.0,84.0,50.0,3.0,1515153600000000000
113,,4,11,0,1011.0,27,23.0,79.0,70.0,3.0,1515150000000000000
114,,4,10,0,1011.0,28,23.0,74.0,60.0,4.0,1515146400000000000
115,,4,9,0,1011.0,29,22.0,66.0,60.0,5.0,1515142800000000000
116,,4,8,0,1010.0,29,23.0,70.0,70.0,5.0,1515139200000000000
117,,4,7,0,1010.0,29,23.0,70.0,50.0,5.0,1515135600000000000
118,,4,6,0,1010.0,30,22.0,62.0,60.0,6.0,1515132000000000000
119,,4,5,0,1011.0,31,22.0,59.0,60.0,7.0,1515128400000000000
120,,4,4,0,1011.0,31,22.0,59.0,60.0,5.0,1515124800000000000
121,,4,3,0,1012.0,30,22.0,62.0,70.0,5.0,1515121200000000000
122,,4,2,0,1013.0,28,23.0,74.0,60.0,4.0,1515117600000000000
123,,4,1,0,1013.0,27,23.0,79.0,280.0,2.0,1515114000000000000
124,,4,0,0,1012.0,26,24.0,89.0,280.0,2.0,1515110400000000000
125,,6,0,0,1012.0,29,22.0,66.0,70.0,5.0,1515196800000000000
126,,5,23,0,1011.0,27,21.0,70.0,60.0,4.0,1515279600000000000
127,,5,22,0,1010.0,27,22.0,74.0,70.0,4.0,1515276000000000000
128,,5,21,0,1010.0,27,23.0,79.0,60.0,4.0,1515272400000000000
129,,5,20,0,1010.0,27,24.0,84.0,60.0,4.0,1515268800000000000
130,,5,19,0,1010.0,27,24.0,84.0,60.0,2.0,1515265200000000000
131,,5,18,0,1011.0,27,23.0,79.0,70.0,3.0,1515261600000000000
132,,5,17,0,1011.0,27,23.0,79.0,70.0,4.0,1515258000000000000
133,,5,16,0,1012.0,27,24.0,84.0,60.0,4.0,1515254400000000000
134,,5,15,0,1012.0,27,25.0,89.0,50.0,2.0,1515250800000000000
135,,5,14,0,1012.0,28,25.0,84.0,60.0,4.0,1515247200000000000
136,,5,13,0,1011.0,28,24.0,79.0,60.0,4.0,1515243600000000000
137,,5,12,0,1011.0,28,25.0,84.0,50.0,3.0,1515240000000000000
138,,5,11,0,1010.0,28,24.0,79.0,50.0,4.0,1515236400000000000
139,,5,10,0,1010.0,29,24.0,74.0,60.0,5.0,1515232800000000000
140,,5,9,0,1010.0,29,24.0,74.0,60.0,5.0,1515229200000000000
141,,5,8,0,1009.0,30,23.0,66.0,50.0,4.0,1515225600000000000
142,,5,7,0,1009.0,31,23.0,62.0,60.0,5.0,1515222000000000000
143,,5,6,0,1010.0,32,23.0,59.0,50.0,5.0,1515218400000000000
144,,5,5,0,1010.0,32,23.0,59.0,60.0,4.0,1515214800000000000
145,,5,4,0,1011.0,31,23.0,62.0,60.0,6.0,1515211200000000000
146,,5,3,0,1012.0,30,23.0,66.0,60.0,6.0,1515207600000000000
147,,5,2,0,1012.0,30,24.0,70.0,60.0,4.0,1515204000000000000
