<HTML>
<HEAD>
<TITLE>University of Wyoming, Atmospheric Science</TITLE>
</HEAD>
<BODY BGCOLOR=white>
<H3>Observations for NINOY AQUINO INTL, Philippines (RPLL)</H3>
<H5>Location: 14.52N 121.00E    21 meters</H5>
<I>0000Z 17 Feb 2018 to 0000Z 18 Feb 2018</I>                                                                                   
<PRE>
STN     TIME ALTM   TMP DEW RH  DIR SPD VIS  CLOUDS         
     DD/HHMM hPa    C   C   %   deg m/s km                  
==== ======= ====== === === === === === ==== ======= =======
RPLL 18/0000 1014.0  27  23  79  70   2 10.0  SCT023  BKN100
RPLL 17/2300 1013.0  25  25 100  60   1 10.0  SCT023  BKN100
RPLL 17/2200 1013.0  24  24 100  60   1 10.0  FEW023
RPLL 17/2100 1012.0  26  24  89  70   1 10.0  FEW023
RPLL 17/2000 1012.0  26  23  84  60   3 10.0  FEW023
RPLL 17/1900 1012.0  26  24  89  70   1 10.0  FEW023
RPLL 17/1800 1012.0  26  23  84  70   3 10.0  FEW023
RPLL 17/1700 1012.0  27  23  79  70   3 10.0  FEW023
RPLL 17/1600 1013.0  27  23  79  40   3 10.0  FEW023
RPLL 17/1500 1013.0  27  23  79  60   4 10.0  FEW023
RPLL 17/1400 1013.0  27  23  79  60   3 10.0  FEW025
RPLL 17/1300 1012.0  28  24  79  60   3 10.0  FEW025
RPLL 17/1200 1012.0  28  24  79  60   4 10.0  FEW025
RPLL 17/1100 1011.0  29  24  74  50   4 10.0  FEW025
RPLL 17/1000 1010.0  30  23  66  40   4 10.0  FEW025
RPLL 17/0900 1010.0  32  22  56  40   5 10.0  FEW025
RPLL 17/0800 1009.0  32  23  59  30   5 10.0  FEW025
RPLL 17/0700 1009.0  32  23  59  50   6 10.0  FEW023
RPLL 17/0600 1010.0  33  23  56  20   4 10.0  FEW023
RPLL 17/0500 1011.0  33  23  56  30   5 10.0  FEW023
RPLL 17/0400 1012.0  32  23  59  40   4 10.0  FEW023
RPLL 17/0300 1013.0  32  23  59  30   3 10.0  FEW023
RPLL 17/0200 1013.0  31  24  66  40   3 10.0  FEW023
RPLL 17/0100 1013.0  29  24  74  60   4 10.0  FEW023
RPLL 17/0000 1013.0  28  25  84  40   3 10.0  SCT023
</PRE>
