<HTML>
<HEAD>
<TITLE>University of Wyoming, Atmospheric Science</TITLE>
</HEAD>
<BODY BGCOLOR=white>
<H3>Observations for NINOY AQUINO INTL, Philippines (RPLL)</H3>
<H5>Location: 14.52N 121.00E    21 meters</H5>
<I>0000Z  7 Jan 2019 to 0000Z  8 Jan 2019</I>                                                                                   
<PRE>
STN     TIME ALTM   TMP DEW RH  DIR SPD VIS  CLOUDS 
     DD/HHMM hPa    C   C   %   deg m/s km          
==== ======= ====== === === === === === ==== =======
RPLL 08/0000 1016.0  26  20  70  90   2 10.0  FEW025
RPLL 07/2300 1016.0  24  20  78 100   1 10.0  FEW025
RPLL 07/2200 1015.0  24  21  83   0   0 10.0  FEW030
RPLL 07/2100 1015.0  25  21  78   0   0 10.0  FEW030
RPLL 07/2000 1015.0  25  21  78   0   0 10.0  FEW030
RPLL 07/1900 1014.0  25  20  74  40   2 10.0  FEW030
RPLL 07/1800 1015.0  26  20  70  20   3 10.0  FEW030
RPLL 07/1700 1015.0  26  20  70 120   1 10.0  FEW030
RPLL 07/1600 1016.0  26  20  70 110   2 10.0  FEW030
RPLL 07/1500 1016.0  26  20  70  70   3 10.0  FEW025
RPLL 07/1400 1016.0  26  20  70  60   2 10.0  FEW025
RPLL 07/1300 1016.0  26  20  70 100   3 10.0  FEW025
RPLL 07/1200 1016.0  26  20  70  90   3 10.0  FEW025
RPLL 07/1100 1015.0  27  20  66  90   3 10.0  FEW025
RPLL 07/1000 1015.0  27  20  66  90   2 10.0  FEW023
RPLL 07/0900 1014.0  29  19  55  80   4 10.0  FEW025
RPLL 07/0800 1014.0  29  21  62  60   7 10.0  FEW025
RPLL 07/0700 1014.0  29  22  66  90   7 10.0  BKN025
RPLL 07/0600 1014.0  30  21  59 100   7 10.0  BKN025
RPLL 07/0500 1014.0  32  18  43 100   6 10.0  SCT025
RPLL 07/0400 1015.0  30  20  55  70   8 10.0  SCT025
RPLL 07/0300 1016.0  31  20  52 100   5 10.0  SCT025
RPLL 07/0200 1016.0  29  19  55 100   5 10.0  FEW025
RPLL 07/0100 1017.0  27  20  66 100   3 10.0  SCT025
RPLL 07/0000 1016.0  26  20  70  80   1 10.0  BKN023
</PRE>
