<HTML>
<HEAD>
<TITLE>University of Wyoming, Atmospheric Science</TITLE>
</HEAD>
<BODY BGCOLOR=white>
<H3>Observations for NINOY AQUINO INTL, Philippines (RPLL)</H3>
<H5>Location: 14.52N 121.00E    21 meters</H5>
<I>0000Z 16 Jan 2019 to 0000Z 17 Jan 2019</I>                                                                                   
<PRE>
STN     TIME ALTM   TMP DEW RH  DIR SPD VIS  CLOUDS 
     DD/HHMM hPa    C   C   %   deg m/s km          
==== ======= ====== === === === === === ==== =======
RPLL 17/0000 1015.0  26  19  65  40   2 10.0  FEW025
RPLL 16/2300 1014.0  24  19  74  10   2 10.0  FEW025
RPLL 16/2200 1013.0  24  20  78  30   1 10.0  FEW025
RPLL 16/2100 1013.0  24  19  74   0   0 10.0  FEW025
RPLL 16/2000 1013.0  24  19  74  90   1 10.0  FEW025
RPLL 16/1900 1013.0  24  19  74   0   0 10.0  FEW025
RPLL 16/1800 1014.0  25  21  78  90   1 10.0  FEW030
RPLL 16/1700 1014.0  25  20  74  60   3 10.0  FEW030
RPLL 16/1600 1014.0  25  21  78 100   2 10.0  FEW030
RPLL 16/1500 1014.0  26  21  74 100   1 10.0  FEW030
RPLL 16/1400 1015.0  26  20  70 120   3 10.0  FEW025
RPLL 16/1300 1015.0  26  20  70 110   3 10.0  FEW025
RPLL 16/1200 1014.0  26  20  70 110   4 10.0  FEW025
RPLL 16/1100 1013.0  27  19  62 100   4 10.0  FEW025
RPLL 16/1000 1013.0  28  19  58 100   5 10.0  FEW025
RPLL 16/0900 1012.0  30  19  52  90   6 10.0  FEW025
RPLL 16/0800 1012.0  30  19  52  90   5 10.0  FEW025
RPLL 16/0700 1012.0  32  19  46 100   7 10.0  FEW025
RPLL 16/0600 1012.0  31  20  52 110   6 10.0  FEW025
RPLL 16/0500 1013.0  32  19  46 110   5 10.0  FEW025
RPLL 16/0400 1014.0  32  20  49 100   5 10.0  FEW025
RPLL 16/0300 1014.0  30  18  49  60   6 10.0  FEW025
RPLL 16/0200 1015.0  30  19  52 100   4 10.0  FEW025
RPLL 16/0100 1015.0  28  19  58  60   4 10.0  FEW025
RPLL 16/0000 1015.0  26  22  79  50   1 10.0  FEW025
</PRE>
