<HTML>
<HEAD>
<TITLE>University of Wyoming, Atmospheric Science</TITLE>
</HEAD>
<BODY BGCOLOR=white>
<H3>Observations for NINOY AQUINO INTL, Philippines (RPLL)</H3>
<H5>Location: 14.52N 121.00E    21 meters</H5>
<I>0000Z  8 Feb 2019 to 0000Z  9 Feb 2019</I>                                                                                   
<PRE>
STN     TIME ALTM   TMP DEW RH  DIR SPD VIS  CLOUDS 
     DD/HHMM hPa    C   C   %   deg m/s km          
==== ======= ====== === === === === === ==== =======
RPLL 09/0000 1016.0  25  20  74  40   2 10.0  FEW030
RPLL 08/2300 1015.0  24  20  78  30   2  9.0  FEW025
RPLL 08/2200 1014.0  24  20  78  40   2 10.0  FEW025
RPLL 08/2100 1013.0  24  21  83 100   1 10.0  FEW025
RPLL 08/2000 1013.0  24  21  83   0   0 10.0  FEW025
RPLL 08/1900 1013.0  25  20  74 100   2 10.0  FEW025
RPLL 08/1800 1013.0  25  21  78 100   2 10.0  FEW025
RPLL 08/1700 1014.0  25  21  78 120   2 10.0  FEW025
RPLL 08/1600 1014.0  25  21  78 110   3 10.0  FEW025
RPLL 08/1500 1014.0  26  21  74 120   2 10.0  FEW025
RPLL 08/1400 1014.0  26  21  74 120   4 10.0  FEW025
RPLL 08/1300 1014.0  26  21  74 110   4 10.0  FEW025
RPLL 08/1200 1013.0  26  21  74 120   3 10.0  FEW025
RPLL 08/1100 1012.0  27  22  74 110   2 10.0  FEW025
RPLL 08/1000 1012.0  28  22  70 110   5 10.0  FEW025
RPLL 08/0900 1012.0  30  21  59 110   5 10.0  FEW025
RPLL 08/0800 1011.0  32  20  49 110   5 10.0  FEW025
RPLL 08/0700 1012.0  31  20  52 120   4 10.0  FEW025
RPLL 08/0600 1013.0  32  20  49 100   4 10.0  FEW025
RPLL 08/0500 1013.0  31  20  52 110   4 10.0  FEW025
RPLL 08/0400 1014.0  31  21  55  90   3 10.0  FEW025
RPLL 08/0300 1015.0  29  20  58 110   2 10.0  FEW025
RPLL 08/0200 1015.0  29  19  55  90   3 10.0  FEW030
RPLL 08/0100 1015.0  25  19  69 240   2 10.0  FEW030
RPLL 08/0000 1015.0  25  19  69 350   1 10.0  FEW030
</PRE>
