<HTML>
<HEAD>
<TITLE>University of Wyoming, Atmospheric Science</TITLE>
</HEAD>
<BODY BGCOLOR=white>
<H3>Observations for NINOY AQUINO INTL, Philippines (RPLL)</H3>
<H5>Location: 14.52N 121.00E    21 meters</H5>
<I>0000Z 15 Feb 2019 to 0000Z 16 Feb 2019</I>                                                                                   
<PRE>
STN     TIME ALTM   TMP DEW RH  DIR SPD VIS  CLOUDS 
     DD/HHMM hPa    C   C   %   deg m/s km          
==== ======= ====== === === === === === ==== =======
RPLL 16/0000 1018.0  26  21  74  90   2 10.0  FEW025
RPLL 15/2300 1017.0  25  19  69  70   2 10.0  FEW025
RPLL 15/2200 1016.0  24  20  78 100   2 10.0  FEW025
RPLL 15/2100 1015.0  24  20  78  90   2 10.0  FEW025
RPLL 15/2000 1015.0  25  20  74 100   3 10.0  FEW025
RPLL 15/1900 1015.0  25  20  74 110   2 10.0  FEW025
RPLL 15/1800 1015.0  25  20  74 110   3 10.0  FEW030
RPLL 15/1700 1017.0  25  20  74 110   4 10.0  FEW030
RPLL 15/1600 1017.0  25  20  74 120   3 10.0  FEW030
RPLL 15/1500 1017.0  25  20  74 120   3 10.0  FEW030
RPLL 15/1400 1017.0  26  20  70 120   3 10.0  FEW030
RPLL 15/1300 1017.0  26  20  70 120   2 10.0  FEW030
RPLL 15/1200 1017.0  27  21  70 110   3 10.0  FEW030
RPLL 15/1100 1016.0  27  20  66 110   5 10.0  FEW030
RPLL 15/1000 1015.0  28  20  62 120   6 10.0  FEW030
RPLL 15/0900 1014.0  29  19  55 120   6 10.0  FEW030
RPLL 15/0800 1014.0  30  19  52 120   6 10.0  FEW030
RPLL 15/0700 1014.0  30  18  49 130   7 10.0  FEW030
RPLL 15/0600 1015.0  32  18  43 110   6 10.0  FEW030
RPLL 15/0500 1016.0  32  17  41 110   4 10.0  FEW030
RPLL 15/0400 1017.0  30  18  49 120   5 10.0  FEW030
RPLL 15/0300 1018.0  29  18  51 100   9 10.0  FEW030
RPLL 15/0200 1019.0  28  18  55 100   4 10.0  FEW030
RPLL 15/0100 1019.0  26  18  61 110   4 10.0  FEW030
RPLL 15/0000 1018.0  24  18  69  90   3 10.0  FEW030
</PRE>
