<HTML>
<HEAD>
<TITLE>University of Wyoming, Atmospheric Science</TITLE>
</HEAD>
<BODY BGCOLOR=white>
<H3>Observations for NINOY AQUINO INTL, Philippines (RPLL)</H3>
<H5>Location: 14.52N 121.00E    21 meters</H5>
<I>0000Z  2 Mar 2019 to 0000Z  3 Mar 2019</I>                                                                                   
<PRE>
STN     TIME ALTM   TMP DEW RH  DIR SPD VIS  CLOUDS 
     DD/HHMM hPa    C   C   %   deg m/s km          
==== ======= ====== === === === === === ==== =======
RPLL 03/0000 1013.0  25  19  69  10   2 10.0  FEW023
RPLL 02/2300 1011.0  24  18  69  30   1 10.0  FEW025
RPLL 02/2200 1011.0  24  18  69  10   2 10.0  FEW025
RPLL 02/2100 1010.0  24  18  69  30   1 10.0  FEW025
RPLL 02/2000 1010.0  24  20  78  40   2 10.0  FEW025
RPLL 02/1900 1010.0  24  20  78  90   2 10.0  FEW025
RPLL 02/1800 1010.0  24  19  74 100   2 10.0  FEW030
RPLL 02/1700 1010.0  25  20  74 110   3 10.0  FEW030
RPLL 02/1600 1011.0  25  20  74 130   3 10.0  FEW030
RPLL 02/1500 1012.0  25  20  74 130   3 10.0  FEW030
RPLL 02/1400 1012.0  26  20  70 110   2 10.0  FEW025
RPLL 02/1300 1012.0  26  20  70 120   3 10.0  FEW025
RPLL 02/1200 1011.0  27  19  62 110   2 10.0  FEW025
RPLL 02/1100 1010.0  28  19  58 100   3 10.0  FEW025
RPLL 02/1000 1010.0  28  18  55 110   5 10.0  FEW025
RPLL 02/0900 1009.0  30  18  49 110   5 10.0  FEW025
RPLL 02/0800 1008.0  30  17  46 130   6 10.0  FEW025
RPLL 02/0700 1009.0  30  18  49 130   6 10.0  FEW025
RPLL 02/0600 1010.0  31  17  43 130   7 10.0  FEW023
RPLL 02/0500 1011.0  31  17  43 120   6 10.0  FEW023
RPLL 02/0400 1012.0  31  17  43 130   6 10.0  FEW023
RPLL 02/0300 1013.0  30  18  49 110   5 10.0  FEW023
RPLL 02/0200 1014.0  28  17  51 110   3 10.0  FEW023
RPLL 02/0100 1014.0  27  17  54 100   3 10.0  FEW023
RPLL 02/0000 1013.0  26  18  61 110   2 10.0  FEW023
</PRE>
