<HTML>
<HEAD>
<TITLE>University of Wyoming, Atmospheric Science</TITLE>
</HEAD>
<BODY BGCOLOR=white>
<H3>Observations for NINOY AQUINO INTL, Philippines (RPLL)</H3>
<H5>Location: 14.52N 121.00E    21 meters</H5>
<I>0000Z 25 Mar 2019 to 0000Z 26 Mar 2019</I>                                                                                   
<PRE>
STN     TIME ALTM   TMP DEW RH  DIR SPD VIS  CLOUDS 
     DD/HHMM hPa    C   C   %   deg m/s km          
==== ======= ====== === === === === === ==== =======
RPLL 26/0000 1016.0  28  19  58  60   2 10.0  FEW025
RPLL 25/2300 1015.0  26  18  61  40   2  9.0  FEW025
RPLL 25/2200 1014.0  25  18  65 160   1  9.0  FEW030
RPLL 25/2100 1014.0  26  17  58 180   2 10.0  FEW030
RPLL 25/2000 1014.0  26  18  61 100   2 10.0  FEW030
RPLL 25/1900 1014.0  26  18  61 110   2 10.0  FEW030
RPLL 25/1800 1014.0  26  18  61 110   2 10.0  FEW030
RPLL 25/1700 1014.0  27  21  70  90   2 10.0  FEW030
RPLL 25/1600 1014.0  27  21  70 110   3 10.0  FEW030
RPLL 25/1500 1014.0  27  19  62 110   4 10.0  FEW030
RPLL 25/1400 1014.0  27  19  62 110   4 10.0  FEW025
RPLL 25/1300 1014.0  28  20  62 110   3 10.0  FEW025
RPLL 25/1200 1013.0  29  20  58 110   3 10.0  FEW025
RPLL 25/1100 1012.0  29  20  58 100   4 10.0  FEW023
RPLL 25/1000 1012.0  29  20  58 110   6 10.0  FEW023
RPLL 25/0900 1011.0  31  19  49 100   7 10.0  FEW023
RPLL 25/0800 1011.0  32  20  49 100   6 10.0  FEW023
RPLL 25/0700 1011.0  33  17  38 110   7 10.0  FEW023
RPLL 25/0600 1012.0  33  19  44 120   7 10.0  FEW023
RPLL 25/0500 1013.0  34  19  41 120   7 10.0  FEW023
RPLL 25/0400 1014.0  32  19  46 120   6 10.0  FEW023
RPLL 25/0300 1014.0  31  19  49 120   5 10.0  FEW023
RPLL 25/0200 1015.0  30  19  52 100   7 10.0  FEW023
RPLL 25/0100 1015.0  28  20  62  90   4 10.0  FEW023
RPLL 25/0000 1015.0  28  20  62  90   4 10.0  FEW023
</PRE>
