<HTML>
<HEAD>
<TITLE>University of Wyoming, Atmospheric Science</TITLE>
</HEAD>
<BODY BGCOLOR=white>
<H3>Observations for NINOY AQUINO INTL, Philippines (RPLL)</H3>
<H5>Location: 14.52N 121.00E    21 meters</H5>
<I>0000Z 24 Apr 2019 to 0000Z 25 Apr 2019</I>                                                                                   
<PRE>
STN     TIME ALTM   TMP DEW RH  DIR SPD VIS  CLOUDS 
     DD/HHMM hPa    C   C   %   deg m/s km          
==== ======= ====== === === === === === ==== =======
RPLL 25/0000 1010.0  29  22  66 110   5 10.0  FEW025
RPLL 24/2300 1010.0  28  23  74 100   4 10.0  FEW025
RPLL 24/2200 1009.0  28  23  74 100   4 10.0  FEW027
RPLL 24/2100 1009.0  28  22  70 100   4 10.0  FEW027
RPLL 24/2000 1008.0  28  22  70 100   4 10.0  FEW027
RPLL 24/1900 1008.0  28  22  70 100   3 10.0  FEW027
RPLL 24/1800 1009.0  28  22  70 100   5 10.0  FEW027
RPLL 24/1700 1009.0  29  21  62  90   5 10.0  FEW027
RPLL 24/1600 1010.0  29  21  62 100   3 10.0  FEW027
RPLL 24/1500 1011.0  29  21  62 100   3 10.0  FEW027
RPLL 24/1400 1011.0  30  25  75  70   4 10.0  FEW025
RPLL 24/1300 1010.0  30  21  59  90   4 10.0  FEW025
RPLL 24/1200 1010.0  30  22  62  90   4 10.0  FEW025
RPLL 24/1100 1009.0  31  22  59  90   4 10.0  FEW025
RPLL 24/1000 1008.0  32  22  56 100   5 10.0  FEW025
RPLL 24/0900 1007.0  33  21  49 100   6 10.0  FEW025
RPLL 24/0800 1007.0  35  20  42 110   7 10.0  FEW025
RPLL 24/0700 1008.0  34  20  44 110   7 10.0  FEW025
RPLL 24/0600 1008.0  35  23  50 110   6 10.0  FEW025
RPLL 24/0500 1009.0  36  22  44 120   6 10.0  FEW025
RPLL 24/0400 1010.0  35  24  53 120   6 10.0  FEW025
RPLL 24/0300 1011.0  34  23  53 110   6 10.0  FEW025
RPLL 24/0200 1012.0  33  23  56  90   6 10.0  FEW025
RPLL 24/0100 1012.0  31  23  62 100   5 10.0  FEW025
RPLL 24/0000 1012.0  29  23  70  90   4 10.0  FEW025
</PRE>
