<HTML>
<HEAD>
<TITLE>University of Wyoming, Atmospheric Science</TITLE>
</HEAD>
<BODY BGCOLOR=white>
<H3>Observations for NINOY AQUINO INTL, Philippines (RPLL)</H3>
<H5>Location: 14.52N 121.00E    21 meters</H5>
<I>0000Z 10 Aug 2019 to 0000Z 11 Aug 2019</I>                                                                                   
<PRE>
STN     TIME ALTM   TMP DEW RH  DIR SPD GUS VIS  CLOUDS          Weather     
     DD/HHMM hPa    C   C   %   deg m/s m/s km                               
==== ======= ====== === === === === === === ==== ======= ======= ============
RPLL 11/0000 1008.0  29  25  79 260   9     10.0  FEW023
RPLL 10/2300 1008.0  29  25  79 260   7     10.0  FEW023  SCT300
RPLL 10/2200 1007.0  28  24  79 250   5     10.0  FEW023  SCT100
RPLL 10/2100 1007.0  28  24  79 250   5     10.0  SCT023  BKN100
RPLL 10/2000 1007.0  27  24  84 250   5     10.0  SCT023  BKN100
RPLL 10/1900 1007.0  28  24  79 240   5     10.0  SCT022  OVC090 -SHRA
RPLL 10/1800 1007.0  28  24  79 240   3     10.0  FEW025  SCT100
RPLL 10/1700 1007.0  28  24  79 240   6     10.0  FEW025  SCT100
RPLL 10/1600 1008.0  28  24  79 250   4     10.0  FEW025  BKN090
RPLL 10/1500 1008.0  28  24  79 230   5     10.0  FEW025  BKN090
RPLL 10/1400 1008.0  28  24  79 220   2     10.0  FEW023  SCT300
RPLL 10/1300 1008.0  29  24  74 230   3     10.0  FEW023  SCT300
RPLL 10/1200 1007.0  29  24  74 240   5     10.0  FEW023  SCT300
RPLL 10/1100 1007.0  29  24  74 240   5     10.0  FEW023  SCT300
RPLL 10/1000 1006.0  30  24  70 230   5     10.0  SCT023  SCT300
RPLL 10/0900 1006.0  30  24  70 250   8     10.0  FEW023  BKN100
RPLL 10/0800 1006.0  31  24  66 260   9     10.0  FEW023  BKN100
RPLL 10/0700 1006.0  31  23  62 240   7     10.0  FEW023  BKN100
RPLL 10/0600 1006.0  31  24  66 240   4     10.0  SCT023  BKN090
RPLL 10/0500 1006.0  31  25  70 230   8  13 10.0  SCT023  BKN090
RPLL 10/0400 1007.0  30  25  75 220   6     10.0  SCT023  BKN090
RPLL 10/0300 1007.0  29  25  79 230   6     10.0  SCT022  OVC090
RPLL 10/0200 1007.0  28  25  84 230   4     10.0  SCT022  OVC090
RPLL 10/0100 1007.0  27  25  89 230   5     10.0  SCT022  OVC090 -RA
RPLL 10/0000 1007.0  27  25  89 240   6      9.0  SCT022  OVC090 -RA
</PRE>
