<HTML>
<HEAD>
<TITLE>University of Wyoming, Atmospheric Science</TITLE>
</HEAD>
<BODY BGCOLOR=white>
<H3>Observations for NINOY AQUINO INTL, Philippines (RPLL)</H3>
<H5>Location: 14.52N 121.00E    21 meters</H5>
<I>0000Z 12 May 2021 to 0000Z 13 May 2021</I>                                                                                   
<PRE>
STN     TIME ALTM   TMP DEW RH  DIR SPD VIS  CLOUDS 
     DD/HHMM hPa    C   C   %   deg m/s km          
==== ======= ====== === === === === === ==== =======
RPLL 13/0000 1009.0  32  24  63 110   4 10.0  FEW025
RPLL 12/2300 1009.0  30  24  70 110   4 10.0  FEW025
RPLL 12/2200 1009.0  29  24  74 110   3 10.0  FEW025
RPLL 12/2100 1008.0  29  25  79 120   3 10.0  FEW025
RPLL 12/2000 1008.0  29  24  74 130   2 10.0  FEW030
RPLL 12/1900 1008.0  29  24  74 100   2 10.0  FEW025
RPLL 12/1800 1009.0  29  25  79 110   3 10.0  FEW025
RPLL 12/1700 1009.0  29  25  79 100   2 10.0  SCT025
RPLL 12/1600 1010.0  29  25  79 120   3 10.0  FEW025
RPLL 12/1500 1010.0  29  24  74 100   4 10.0  FEW025
RPLL 12/1400 1010.0  30  24  70 110   4 10.0  FEW025
RPLL 12/1300 1010.0  31  24  66 110   3 10.0  FEW025
RPLL 12/1200 1009.0  31  24  66 110   4 10.0  FEW025
RPLL 12/1100 1009.0  31  24  66 120   4 10.0  FEW025
RPLL 12/1000 1008.0  32  23  59 120   5 10.0  FEW025
RPLL 12/0900 1007.0  34  24  56 130   5 10.0  FEW025
RPLL 12/0800 1007.0  35  24  53 130   5 10.0  FEW025
RPLL 12/0700 1007.0  36  24  50 100   5 10.0  FEW025
RPLL 12/0600 1007.0  36  24  50 110   5 10.0  FEW025
RPLL 12/0500 1008.0  35  24  53 110   5 10.0  FEW025
RPLL 12/0400 1009.0  34  24  56 110   6 10.0  FEW025
RPLL 12/0300 1009.0  34  25  59 130   4 10.0  FEW025
RPLL 12/0200 1010.0  33  25  63 110   4 10.0  FEW025
RPLL 12/0100 1010.0  33  25  63 110   4 10.0  FEW025
RPLL 12/0000 1010.0  32  24  63  90   4 10.0  FEW025
</PRE>
