<HTML>
<HEAD>
<TITLE>University of Wyoming, Atmospheric Science</TITLE>
</HEAD>
<BODY BGCOLOR=white>
<H3>Observations for NINOY AQUINO INTL, Philippines (RPLL)</H3>
<H5>Location: 14.52N 121.00E    21 meters</H5>
<I>0000Z  3 Feb 2022 to 0000Z  4 Feb 2022</I>                                                                                   
<PRE>
STN     TIME ALTM   TMP DEW RH  DIR SPD VIS  CLOUDS          Weather     
     DD/HHMM hPa    C   C   %   deg m/s km                               
==== ======= ====== === === === === === ==== ======= ======= ============
RPLL 04/0000 1013.0  27  22  74       1 10.0  FEW025
RPLL 03/2300 1012.0  24  21  83       1 10.0  FEW025
RPLL 03/2200 1012.0  24  21  83       1 10.0  FEW025  BKN100
RPLL 03/2100 1012.0  25  21  78       1 10.0  FEW025  BKN100
RPLL 03/2000 1011.0  25  22  83       2 10.0  FEW025  BKN100
RPLL 03/1900 1011.0  25  22  83 110   2 10.0  FEW025  BKN100
RPLL 03/1800 1012.0  25  22  83       1 10.0  FEW025  BKN100
RPLL 03/1700 1012.0  26  22  79 100   2 10.0  FEW025  BKN100
RPLL 03/1600 1012.0  26  22  79 120   2 10.0  FEW025  BKN100
RPLL 03/1500 1012.0  26  22  79 110   2 10.0  FEW025  BKN100
RPLL 03/1400 1013.0  27  21  70 120   2       FEW025  BKN100
RPLL 03/1300 1013.0  27  22  74       1 10.0  FEW025  BKN100
RPLL 03/1200 1012.0  27  22  74 110   2 10.0  FEW025  BKN100
RPLL 03/1100 1012.0  27  22  74 100   2 10.0  SCT025  BKN100
RPLL 03/1000 1012.0  28  22  70       2 10.0  SCT025  BKN100
RPLL 03/0900 1011.0  29  22  66 120   4 10.0  SCT025  BKN100
RPLL 03/0800 1011.0  30  22  62 150   3 10.0  SCT025  BKN100
RPLL 03/0700 1011.0  30  22  62       2 10.0  SCT025  BKN100
RPLL 03/0600 1011.0  29  22  66 100   2 10.0  SCT025  BKN100
RPLL 03/0500 1013.0  28  23  74 170   2 10.0  SCT025  BKN100
RPLL 03/0400 1014.0  28  23  74       3 10.0  SCT025  BKN100
RPLL 03/0300 1014.0  27  23  79 150   2 10.0  SCT025  BKN100
RPLL 03/0200 1014.0  28  22  70 100   2 10.0  SCT025  BKN080
RPLL 03/0100 1014.0  28  22  70       1 10.0  SCT025  BKN***
RPLL 03/0000 1014.0  27  22  74 330   2 10.0  SCT025  BKN080
</PRE>
