,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0,1000.0,132,,,,,,,,,
1,943.0,614,24.4,21.5,84,17.45,10,4,302.6,354.5,305.7
2,925.0,819,21.2,19.8,92,15.98,45,8,301.0,348.1,303.9
3,898.0,1076,18.8,18.1,96,14.78,61,13,301.1,344.7,303.7
4,871.0,1339,19.4,15.7,79,13.05,78,19,304.3,343.4,306.7
5,867.0,1378,19.2,15.5,79,12.93,80,19,304.5,343.3,306.9
6,850.0,1549,18.4,14.6,79,12.44,80,17,305.4,342.9,307.7
7,816.0,1899,17.0,12.1,73,10.98,77,14,307.5,341.0,309.5
8,733.0,2803,10.9,9.1,89,10.01,70,6,310.4,341.3,312.3
9,709.0,3084,9.0,8.2,95,9.72,70,9,311.3,341.4,313.1
10,700.0,3190,9.0,7.7,92,9.51,70,10,312.4,342.1,314.2
11,645.0,3865,6.4,-0.6,61,5.71,102,13,316.9,335.3,318.0
12,640.0,3928,6.2,-0.7,61,5.70,105,14,317.3,335.8,318.4
13,612.0,4293,4.7,-1.4,64,5.66,85,8,319.7,338.2,320.8
14,606.0,4374,4.4,-1.6,65,5.65,73,7,320.2,338.8,321.4
15,584.0,4673,1.9,-3.4,68,5.14,30,2,320.8,337.7,321.8
16,576.0,4784,1.0,-4.0,69,4.97,21,2,320.9,337.4,321.9
17,557.0,5053,0.0,-10.2,46,3.18,0,2,322.9,333.7,323.5
18,547.0,5198,-0.5,-13.5,37,2.48,328,3,323.9,332.5,324.4
19,538.0,5330,-1.7,-8.7,59,3.70,300,3,324.1,336.6,324.8
20,532.0,5419,-2.1,-10.9,51,3.15,280,4,324.6,335.4,325.3
21,525.0,5524,-2.5,-13.5,43,2.58,287,4,325.4,334.3,325.9
22,521.0,5585,-2.9,-9.9,59,3.48,291,5,325.6,337.5,326.3
23,520.0,5600,-2.7,-13.7,43,2.57,292,5,326.0,335.0,326.5
24,515.0,5676,-2.7,-21.7,22,1.32,297,5,326.9,331.7,327.2
25,507.0,5800,-2.9,-24.9,17,1.01,305,6,328.1,331.9,328.3
26,504.0,5847,-2.9,-24.9,17,1.01,305,5,328.7,332.4,328.9
27,501.0,5894,-3.5,-15.5,39,2.30,305,4,328.5,336.6,329.0
28,500.0,5910,-3.7,-15.7,39,2.26,305,4,328.5,336.5,328.9
29,499.0,5926,-4.1,-17.1,36,2.02,305,2,328.2,335.4,328.6
30,497.0,5957,-4.1,-18.1,33,1.86,305,2,328.5,335.2,328.9
31,295.0,9861,-31.5,-44.5,27,0.25,254,4,342.5,343.6,342.6
32,282.0,10174,-34.1,-46.8,26,0.20,250,4,343.3,344.1,343.3
33,266.0,10579,-37.4,-49.8,26,0.15,225,8,344.2,344.9,344.2
34,250.0,11010,-40.9,-52.9,26,0.11,265,14,345.1,345.6,345.1
35,239.0,11316,-43.5,-55.5,25,0.09,282,19,345.7,346.1,345.7
36,237.0,11372,-43.9,-56.5,23,0.08,285,19,345.9,346.3,345.9
37,225.0,11718,-46.2,-62.6,14,0.04,275,21,347.5,347.6,347.5
38,205.0,12339,-50.5,-73.5,5,0.01,287,28,350.2,350.2,350.2
39,200.0,12500,-51.9,-73.9,5,0.01,290,29,350.4,350.5,350.4
40,187.0,12926,-55.8,-70.4,15,0.02,300,31,350.9,351.0,350.9
41,173.0,13419,-60.3,-66.3,45,0.03,300,35,351.4,351.5,351.4
42,157.0,14012,-65.5,-72.2,39,0.01,300,41,352.5,352.6,352.5
43,150.0,14290,-67.9,-74.9,36,0.01,295,39,352.9,353.0,352.9
44,140.0,14701,-71.3,-78.3,35,0.01,295,35,354.0,354.0,354.0
45,123.0,15451,-74.2,-81.2,33,0.00,295,27,362.1,362.2,362.1
46,108.0,16205,-77.0,-84.0,32,0.00,230,23,370.4,370.4,370.4
47,102.0,16536,-78.3,-85.3,32,0.00,225,19,374.1,374.1,374.1
48,101.0,16593,-78.5,-85.5,32,0.00,225,18,374.7,374.8,374.7
49,100.0,16650,-78.9,-85.9,31,0.00,225,17,375.0,375.1,375.0
50,91.0,17187,-78.4,-86.2,27,0.00,255,12,386.2,386.3,386.2
51,89.1,17307,-78.3,-86.3,27,0.00,268,11,388.8,388.8,388.8
52,86.0,17507,-79.5,-86.5,31,0.00,290,10,390.4,390.4,390.4
53,79.3,17964,-82.1,-86.9,44,0.00,270,10,394.1,394.1,394.1
54,78.4,18028,-82.1,-86.8,45,0.00,264,9,395.4,395.4,395.4
55,77.0,18129,-81.7,-86.8,42,0.00,255,8,398.3,398.3,398.3
56,73.4,18398,-80.7,-86.7,36,0.00,262,9,405.9,405.9,405.9
57,72.0,18507,-77.0,-86.7,20,0.00,265,10,415.9,415.9,415.9
58,71.5,18547,-75.7,-86.7,17,0.00,272,9,419.6,419.6,419.6
59,70.0,18670,-74.3,-86.3,14,0.00,295,8,425.1,425.1,425.1
60,68.0,18839,-72.9,-86.7,11,0.00,315,10,431.6,431.7,431.6
61,67.7,18865,-72.7,-86.7,11,0.00,316,10,432.6,432.7,432.6
62,64.0,19195,-72.4,-87.1,9,0.00,335,8,440.3,440.3,440.3
63,62.5,19335,-72.3,-87.3,9,0.00,273,7,443.5,443.5,443.5
64,61.0,19479,-69.0,-87.6,5,0.00,210,6,453.9,453.9,453.9
65,60.4,19538,-67.7,-87.7,4,0.00,210,6,458.1,458.1,458.1
66,57.0,19891,-66.0,-87.7,3,0.00,210,10,469.6,469.6,469.6
67,54.0,20220,-64.4,-87.7,3,0.00,50,2,480.6,480.6,480.6
68,51.0,20568,-62.8,-87.7,2,0.00,165,14,492.4,492.4,492.4
69,50.9,20580,-62.7,-87.7,2,0.00,165,14,492.8,492.8,492.8
70,50.0,20690,-62.7,-87.7,2,0.00,165,14,495.3,495.3,495.3
71,48.0,20941,-62.8,-87.7,2,0.00,170,12,500.8,500.8,500.8
72,45.0,21339,-63.0,-87.7,2,0.00,220,12,509.6,509.7,509.6
73,43.0,21619,-63.2,-87.7,2,0.00,325,6,516.0,516.0,516.0
74,40.0,22065,-63.4,-87.7,2,0.00,5,8,526.1,526.2,526.1
75,38.0,22381,-63.6,-87.7,2,0.00,50,25,533.5,533.5,533.5
76,36.4,22646,-63.7,-87.7,3,0.01,62,25,539.8,539.8,539.8
77,34.0,23070,-61.7,-87.5,2,0.01,80,23,555.6,555.6,555.6
78,30.0,23850,-58.1,-87.1,1,0.01,85,39,585.7,585.7,585.7
79,26.6,24609,-55.9,-85.9,1,0.01,88,43,612.3,612.4,612.3
80,22.2,25754,-56.5,-86.5,1,0.01,92,50,643.0,643.1,643.0
81,20.0,26420,-52.5,-85.5,1,0.01,95,54,674.7,674.9,674.7
82,19.1,26719,-49.9,-83.9,1,0.02,,,691.7,691.9,691.7
