recorded_time,station,pm25,pm10,is_published
2017-02-02 09:00:00,13,,126.08,1
2017-02-02 10:00:00,13,,146.22,1
2017-02-02 11:00:00,13,,166.52,1
2017-02-02 12:00:00,13,,158.26,1
2017-02-02 13:00:00,13,,117.34,1
2017-02-02 14:00:00,13,,97.53,1
2017-02-02 15:00:00,13,,81.17,1
2017-02-02 16:00:00,13,,86.66,1
2017-02-02 17:00:00,13,,76.69,1
2017-02-02 18:00:00,13,,33.27,1
2017-02-02 19:00:00,13,,41.1,1
2017-02-02 20:00:00,13,,11.8,1
2017-02-02 21:00:00,13,,2.66,1
2017-02-02 22:00:00,13,,9.71,1
2017-02-02 23:00:00,13,,13.88,1
2017-03-02 00:00:00,13,,15.64,1
2017-03-02 05:00:00,13,,69.84,1
2017-03-02 06:00:00,13,,47.5,1
2017-04-02 18:00:00,13,,101.22,1
2017-04-02 19:00:00,13,,62.53,1
2017-04-02 20:00:00,13,,53.02,1
2017-04-02 21:00:00,13,,64.99,1
2017-04-02 22:00:00,13,,89.94,1
2017-04-02 23:00:00,13,,109.14,1
2017-05-02 00:00:00,13,,53.2,1
2017-05-02 01:00:00,13,,36.8,1
2017-05-02 02:00:00,13,,39.72,1
2017-05-02 03:00:00,13,,24.9,1
2017-05-02 04:00:00,13,,16.29,1
2017-05-02 05:00:00,13,,88.01,1
2017-05-02 06:00:00,13,,192.87,1
2017-05-02 07:00:00,13,,207.4,1
2017-05-02 08:00:00,13,,177.84,1
2017-05-02 09:00:00,13,,112.29,1
2017-05-02 10:00:00,13,,130.48,1
2017-05-02 11:00:00,13,,155.84,1
2017-05-02 12:00:00,13,,188.8,1
2017-05-02 13:00:00,13,,165.83,1
2017-05-02 14:00:00,13,,128.39,1
2017-06-02 22:00:00,13,,20.05,1
2017-06-02 23:00:00,13,,12.91,1
2017-07-02 00:00:00,13,,43.01,1
2017-07-02 01:00:00,13,,37.29,1
2017-07-02 02:00:00,13,,53.62,1
2017-07-02 03:00:00,13,,38.53,1
2017-07-02 04:00:00,13,,13.58,1
2017-07-02 05:00:00,13,,28.71,1
2017-07-02 06:00:00,13,,43.12,1
2017-07-02 07:00:00,13,,57.29,1
2017-07-02 08:00:00,13,,83.76,1
2017-07-02 09:00:00,13,,135.28,1
2017-07-02 10:00:00,13,,178.08,1
2017-07-02 11:00:00,13,,209.41,1
2017-07-02 12:00:00,13,,217.61,1
2017-07-02 13:00:00,13,,214.58,1
2017-07-02 14:00:00,13,,217.12,1
2017-07-02 17:00:00,13,,40.22,1
2017-07-02 18:00:00,13,,0.02,1
2017-08-02 22:00:00,13,,53.45,1
2017-08-02 23:00:00,13,,36.81,1
2017-09-02 00:00:00,13,,32.17,1
2017-09-02 01:00:00,13,,27.45,1
2017-09-02 02:00:00,13,,43.97,1
2017-09-02 03:00:00,13,,59.04,1
2017-09-02 04:00:00,13,,59.94,1
2017-09-02 05:00:00,13,,116.42,1
2017-09-02 06:00:00,13,,181.03,1
2017-09-02 07:00:00,13,,159.03,1
2017-09-02 08:00:00,13,,133.9,1
2017-09-02 09:00:00,13,,146.53,1
