recorded_time,station,pm25,pm10,is_published
2017-01-01 00:00:00,4,,322.37,1
2017-01-01 02:00:00,4,,382,1
2017-01-01 03:00:00,4,,339,1
2017-01-01 04:00:00,4,,294.46,1
2017-01-01 05:00:00,4,,272.83,1
2017-01-01 06:00:00,4,306.68,137.29,1
2017-01-01 07:00:00,4,83.96,46.34,1
2017-01-01 08:00:00,4,17.64,38.9,1
2017-01-01 09:00:00,4,1.78,31.87,1
2017-01-01 10:00:00,4,14.02,22.6,1
2017-01-01 11:00:00,4,32.38,31.1,1
2017-01-01 12:00:00,4,,19.59,1
2017-01-01 13:00:00,4,60.02,42.1,1
2017-01-01 14:00:00,4,61.85,41.97,1
2017-01-01 15:00:00,4,55.28,42.87,1
2017-01-01 16:00:00,4,58.14,47.39,1
2017-01-01 17:00:00,4,37.96,38.88,1
2017-01-01 18:00:00,4,7.04,28.54,1
2017-01-01 19:00:00,4,,21.37,1
2017-01-01 20:00:00,4,13.87,27.56,1
2017-01-01 21:00:00,4,,17.41,1
2017-01-01 22:00:00,4,65.67,32.02,1
2017-01-01 23:00:00,4,28.54,19.12,1
2017-02-01 00:00:00,4,14.16,18.99,1
2017-02-01 01:00:00,4,4.19,13.09,1
2017-02-01 02:00:00,4,4.2,8.71,1
2017-02-01 03:00:00,4,1.9,14.16,1
2017-02-01 04:00:00,4,3.78,8.16,1
2017-02-01 05:00:00,4,,11.23,1
2017-02-01 06:00:00,4,,12.56,1
2017-02-01 07:00:00,4,22.57,27.17,1
2017-02-01 08:00:00,4,,31.18,1
2017-02-01 09:00:00,4,21.52,46.08,1
2017-02-01 10:00:00,4,29.01,40.33,1
2017-02-01 11:00:00,4,54.96,41.16,1
2017-02-01 12:00:00,4,53,51.14,1
2017-02-01 13:00:00,4,71.66,53.29,1
2017-02-01 14:00:00,4,63.2,59.54,1
2017-02-01 15:00:00,4,62.34,53.71,1
2017-02-01 16:00:00,4,29.78,52.86,1
2017-02-01 17:00:00,4,10.27,51.76,1
2017-02-01 18:00:00,4,2.6,39.29,1
2017-02-01 19:00:00,4,,29.26,1
2017-02-01 20:00:00,4,,31.09,1
2017-02-01 21:00:00,4,18.44,51.59,1
2017-02-01 22:00:00,4,19.12,57.61,1
2017-02-01 23:00:00,4,37.93,47.99,1
2017-03-01 00:00:00,4,12.38,28.74,1
2017-03-01 01:00:00,4,8.76,14.2,1
2017-03-01 02:00:00,4,9.91,22.19,1
2017-03-01 03:00:00,4,17.82,24.58,1
2017-03-01 04:00:00,4,14.49,30.57,1
2017-03-01 05:00:00,4,9.5,22.31,1
2017-03-01 06:00:00,4,57.77,59.93,1
2017-03-01 07:00:00,4,41.76,66.89,1
2017-03-01 08:00:00,4,28.93,71.28,1
2017-03-01 09:00:00,4,,54.4,1
2017-03-01 10:00:00,4,46.75,52,1
2017-03-01 11:00:00,4,56.33,46.2,1
2017-03-01 12:00:00,4,70.43,54.8,1
2017-03-01 13:00:00,4,63.76,54.63,1
2017-03-01 14:00:00,4,58.01,74.4,1
2017-03-01 15:00:00,4,105.74,84.93,1
2017-03-01 16:00:00,4,62.05,80.19,1
2017-03-01 17:00:00,4,20.21,63.78,1
2017-03-01 18:00:00,4,,41.07,1
2017-03-01 19:00:00,4,,29.66,1
2017-03-01 20:00:00,4,,31.69,1
2017-03-01 21:00:00,4,30.81,45.38,1
2017-03-01 22:00:00,4,,38.15,1
2017-03-01 23:00:00,4,19.85,31.76,1
2017-04-01 00:00:00,4,22.52,31.05,1
2017-04-01 01:00:00,4,8.68,25.68,1
2017-04-01 02:00:00,4,7.84,29.5,1
2017-04-01 03:00:00,4,,18.59,1
2017-04-01 04:00:00,4,2.57,19.64,1
2017-04-01 05:00:00,4,,29.71,1
2017-04-01 06:00:00,4,43.9,52.82,1
2017-04-01 07:00:00,4,49.03,91.78,1
2017-04-01 08:00:00,4,2.77,37.53,1
2017-04-01 09:00:00,4,9.68,36.18,1
2017-04-01 10:00:00,4,39.98,47.81,1
2017-04-01 11:00:00,4,58.81,51.2,1
2017-04-01 12:00:00,4,59.98,41.69,1
2017-04-01 13:00:00,4,36.2,37.14,1
2017-04-01 14:00:00,4,77.78,68.35,1
2017-04-01 15:00:00,4,62.12,76.95,1
2017-04-01 16:00:00,4,55.55,85.93,1
2017-04-01 17:00:00,4,18.32,70.17,1
2017-04-01 18:00:00,4,54.3,94.74,1
2017-04-01 19:00:00,4,21.57,69.12,1
2017-04-01 20:00:00,4,,39.06,1
2017-04-01 21:00:00,4,,46.63,1
2017-04-01 22:00:00,4,,23.12,1
2017-04-01 23:00:00,4,5.36,34.36,1
2017-05-01 00:00:00,4,0.85,22.57,1
2017-05-01 01:00:00,4,,9.11,1
2017-05-01 02:00:00,4,,12.26,1
2017-05-01 03:00:00,4,,9.87,1
2017-05-01 04:00:00,4,30.86,26.22,1
2017-05-01 05:00:00,4,21.85,17.77,1
2017-05-01 06:00:00,4,23.95,18.03,1
2017-05-01 07:00:00,4,4.57,30.83,1
2017-05-01 08:00:00,4,,35.72,1
2017-05-01 09:00:00,4,26.99,50.2,1
2017-05-01 10:00:00,4,46.92,52.7,1
2017-05-01 11:00:00,4,60.54,54.62,1
2017-05-01 12:00:00,4,83.1,86.22,1
2017-05-01 13:00:00,4,122.74,95.45,1
2017-05-01 14:00:00,4,57.24,63.45,1
2017-05-01 15:00:00,4,41.89,66.93,1
2017-05-01 16:00:00,4,37.39,54.11,1
2017-05-01 17:00:00,4,38.6,51.16,1
2017-05-01 18:00:00,4,19.45,43.34,1
2017-05-01 19:00:00,4,8.5,38.74,1
2017-05-01 20:00:00,4,5.76,39.12,1
2017-05-01 21:00:00,4,31.96,44.3,1
2017-05-01 22:00:00,4,0.44,26.91,1
2017-05-01 23:00:00,4,10.06,31.21,1
2017-06-01 00:00:00,4,9.2,30.27,1
2017-06-01 01:00:00,4,12.45,28.39,1
2017-06-01 02:00:00,4,10.14,27.27,1
2017-06-01 03:00:00,4,7.51,20.05,1
2017-06-01 04:00:00,4,24.35,32.58,1
2017-06-01 05:00:00,4,47.31,66.42,1
2017-06-01 06:00:00,4,131.78,118.8,1
2017-06-01 07:00:00,4,155.11,174.39,1
2017-06-01 08:00:00,4,,57.33,1
2017-06-01 09:00:00,4,29.03,50.38,1
2017-06-01 10:00:00,4,30.7,73.5,1
2017-06-01 11:00:00,4,33.08,50.69,1
2017-06-01 12:00:00,4,21.68,44.84,1
2017-06-01 13:00:00,4,53.14,61.07,1
2017-06-01 14:00:00,4,89.42,64.96,1
2017-06-01 15:00:00,4,90.59,77.96,1
2017-06-01 16:00:00,4,75.5,99.91,1
2017-06-01 17:00:00,4,58.72,95.64,1
2017-06-01 18:00:00,4,8.41,67.29,1
2017-06-01 19:00:00,4,,56.88,1
2017-06-01 20:00:00,4,9.61,62.57,1
