recorded_time,station,pm25,pm10,is_published
2017-01-01 00:00:00,2,314.63,416.14,1
2017-01-01 01:00:00,2,,720.0,1
2017-01-01 02:00:00,2,,657.54,1
2017-01-01 03:00:00,2,229.58,285.32,1
2017-01-01 04:00:00,2,88.02,125.71,1
2017-01-01 05:00:00,2,9.82,14.66,1
2017-01-01 06:00:00,2,14.85,30.65,1
2017-01-01 07:00:00,2,15.43,25.42,1
2017-01-01 08:00:00,2,11.18,21.59,1
2017-01-01 09:00:00,2,12.56,29.15,1
2017-01-01 10:00:00,2,5.57,30.07,1
2017-01-01 11:00:00,2,9.95,14.48,1
2017-01-01 12:00:00,2,17.53,12.72,1
2017-01-01 13:00:00,2,9.94,22.41,1
2017-01-01 14:00:00,2,1.76,9.41,1
2017-01-01 15:00:00,2,15.77,32.13,1
2017-01-01 16:00:00,2,8.02,19.61,1
2017-01-01 17:00:00,2,12.76,25.67,1
2017-01-01 18:00:00,2,39.03,41.85,1
2017-01-01 19:00:00,2,34.48,51.42,1
2017-01-01 20:00:00,2,24.44,39.45,1
2017-01-01 21:00:00,2,20.3,33.23,1
2017-01-01 22:00:00,2,14.59,24.21,1
2017-01-01 23:00:00,2,18.5,36.06,1
2017-02-01 00:00:00,2,21.35,38.04,1
2017-02-01 01:00:00,2,21.22,31.69,1
2017-02-01 02:00:00,2,15.03,31.32,1
2017-02-01 03:00:00,2,15.03,24.93,1
2017-02-01 04:00:00,2,5.04,43.21,1
2017-02-01 05:00:00,2,11.88,26.78,1
2017-02-01 06:00:00,2,17.82,26.42,1
2017-02-01 07:00:00,2,4.47,7.56,1
2017-02-01 08:00:00,2,11.34,17.99,1
2017-02-01 09:00:00,2,18.82,44.63,1
2017-02-01 10:00:00,2,24.98,53.37,1
2017-02-01 11:00:00,2,13.76,28.76,1
2017-02-01 12:00:00,2,7.33,21.94,1
2017-02-01 13:00:00,2,18.71,33.46,1
2017-02-01 14:00:00,2,12.98,25.61,1
2017-02-01 15:00:00,2,14.39,32.06,1
2017-02-01 16:00:00,2,10.12,18.89,1
2017-02-01 17:00:00,2,11.27,25.6,1
2017-02-01 18:00:00,2,12.24,26.91,1
2017-02-01 19:00:00,2,22.19,27.43,1
2017-02-01 20:00:00,2,20.34,29.74,1
2017-02-01 21:00:00,2,25.7,42.92,1
2017-02-01 22:00:00,2,31.0,53.62,1
2017-02-01 23:00:00,2,32.41,54.1,1
2017-03-01 00:00:00,2,22.16,34.62,1
2017-03-01 01:00:00,2,33.08,32.32,1
2017-03-01 02:00:00,2,27.41,45.21,1
2017-03-01 03:00:00,2,23.48,37.21,1
2017-03-01 04:00:00,2,23.12,19.67,1
2017-03-01 05:00:00,2,31.45,43.59,1
2017-03-01 06:00:00,2,44.8,72.41,1
2017-03-01 07:00:00,2,41.12,67.72,1
2017-03-01 08:00:00,2,39.43,55.77,1
2017-03-01 09:00:00,2,23.44,46.22,1
2017-03-01 10:00:00,2,20.41,48.14,1
2017-03-01 11:00:00,2,6.74,21.22,1
2017-03-01 12:00:00,2,8.66,29.94,1
2017-03-01 13:00:00,2,5.83,18.47,1
2017-03-01 14:00:00,2,10.92,29.39,1
2017-03-01 15:00:00,2,20.62,39.26,1
2017-03-01 16:00:00,2,7.2,32.89,1
2017-03-01 17:00:00,2,21.1,49.65,1
2017-03-01 18:00:00,2,28.0,50.53,1
2017-03-01 19:00:00,2,36.22,56.54,1
2017-03-01 20:00:00,2,37.89,62.8,1
2017-03-01 21:00:00,2,57.33,91.01,1
2017-03-01 22:00:00,2,48.45,71.66,1
2017-03-01 23:00:00,2,37.03,68.26,1
2017-04-01 00:00:00,2,30.1,69.15,1
