recorded_time,station,pm25,pm10,is_published
2017-01-01 00:00:00,3,152.28,168.29,1
2017-01-01 01:00:00,3,175.4,203.8,1
2017-01-01 02:00:00,3,23.98,33.85,1
2017-01-01 03:00:00,3,23.35,35.21,1
2017-01-01 04:00:00,3,141.65,148.66,1
2017-01-01 05:00:00,3,101.08,125.38,1
2017-01-01 06:00:00,3,149.56,170.96,1
2017-01-01 07:00:00,3,155.39,173.51,1
2017-01-01 08:00:00,3,79.88,98.28,1
2017-01-01 09:00:00,3,25.0,32.39,1
2017-01-01 10:00:00,3,8.5,27.19,1
2017-01-01 11:00:00,3,5.07,29.19,1
2017-01-01 12:00:00,3,8.52,17.29,1
2017-01-01 13:00:00,3,10.3,21.19,1
2017-01-01 14:00:00,3,4.78,24.65,1
2017-01-01 15:00:00,3,14.64,33.02,1
2017-01-01 16:00:00,3,4.13,18.01,1
2017-01-01 17:00:00,3,6.79,5.79,1
2017-01-01 18:00:00,3,2.29,22.92,1
2017-01-01 19:00:00,3,,12.96,1
2017-01-01 20:00:00,3,,18.37,1
2017-01-01 21:00:00,3,12.3,20.51,1
2017-01-01 22:00:00,3,6.05,12.72,1
2017-01-01 23:00:00,3,,11.87,1
2017-02-01 00:00:00,3,12.96,9.89,1
2017-02-01 01:00:00,3,5.57,17.43,1
2017-02-01 02:00:00,3,20.95,14.32,1
2017-02-01 03:00:00,3,0.47,27.51,1
2017-02-01 04:00:00,3,15.54,18.41,1
2017-02-01 05:00:00,3,9.28,17.35,1
2017-02-01 06:00:00,3,27.7,27.93,1
2017-02-01 07:00:00,3,67.57,79.28,1
2017-02-01 08:00:00,3,21.41,36.69,1
2017-02-01 09:00:00,3,20.55,33.86,1
2017-02-01 10:00:00,3,5.36,20.53,1
2017-02-01 11:00:00,3,8.65,19.12,1
2017-02-01 12:00:00,3,8.23,27.78,1
2017-02-01 13:00:00,3,22.66,12.89,1
2017-02-01 14:00:00,3,0.18,15.04,1
2017-02-01 15:00:00,3,2.51,22.33,1
2017-02-01 16:00:00,3,11.76,12.06,1
2017-02-01 17:00:00,3,15.95,14.56,1
2017-02-01 18:00:00,3,10.05,14.41,1
2017-02-01 19:00:00,3,,13.62,1
2017-02-01 20:00:00,3,15.83,17.93,1
2017-02-01 21:00:00,3,9.1,12.72,1
2017-02-01 22:00:00,3,8.93,23.6,1
2017-02-01 23:00:00,3,13.49,16.98,1
2017-03-01 00:00:00,3,1.23,11.59,1
2017-03-01 01:00:00,3,7.86,10.79,1
2017-03-01 02:00:00,3,4.33,19.23,1
2017-03-01 03:00:00,3,0.78,8.81,1
2017-03-01 04:00:00,3,6.4,22.72,1
2017-03-01 05:00:00,3,12.79,11.81,1
2017-03-01 06:00:00,3,6.43,11.54,1
2017-03-01 07:00:00,3,9.48,21.56,1
2017-03-01 08:00:00,3,21.22,35.4,1
2017-03-01 09:00:00,3,44.35,75.9,1
2017-03-01 10:00:00,3,,16.43,1
2017-03-01 11:00:00,3,13.97,26.28,1
2017-03-01 12:00:00,3,19.23,39.21,1
2017-03-01 13:00:00,3,13.07,36.39,1
2017-03-01 14:00:00,3,27.04,41.36,1
2017-03-01 15:00:00,3,6.38,29.34,1
2017-03-01 17:00:00,3,29.28,13.12,1
2017-03-01 18:00:00,3,0.85,11.46,1
2017-03-01 19:00:00,3,,9.51,1
2017-03-01 20:00:00,3,1.58,6.5,1
2017-03-01 21:00:00,3,20.77,13.13,1
2017-03-01 22:00:00,3,4.92,11.35,1
2017-03-01 23:00:00,3,7.19,16.13,1
2017-04-01 00:00:00,3,,9.74,1
2017-04-01 01:00:00,3,11.02,9.77,1
2017-04-01 02:00:00,3,13.27,11.76,1
2017-04-01 03:00:00,3,0.68,14.42,1
2017-04-01 04:00:00,3,4.1,7.79,1
2017-04-01 05:00:00,3,1.0,11.94,1
2017-04-01 06:00:00,3,2.14,11.0,1
2017-04-01 07:00:00,3,18.95,21.58,1
2017-04-01 08:00:00,3,1.36,11.81,1
2017-04-01 09:00:00,3,6.92,28.48,1
2017-04-01 10:00:00,3,16.94,20.38,1
2017-04-01 11:00:00,3,12.91,19.93,1
2017-04-01 12:00:00,3,,14.82,1
2017-04-01 13:00:00,3,10.12,18.21,1
2017-04-01 14:00:00,3,20.93,17.44,1
2017-04-01 15:00:00,3,0.91,10.05,1
2017-04-01 16:00:00,3,7.94,11.28,1
2017-04-01 17:00:00,3,8.48,13.88,1
2017-04-01 18:00:00,3,15.66,16.35,1
2017-04-01 19:00:00,3,16.86,6.22,1
2017-04-01 20:00:00,3,20.39,7.24,1
2017-04-01 21:00:00,3,3.94,15.63,1
2017-04-01 22:00:00,3,,12.16,1
2017-04-01 23:00:00,3,5.16,12.29,1
2017-05-01 00:00:00,3,,7.44,1
2017-05-01 01:00:00,3,7.73,12.09,1
2017-05-01 02:00:00,3,6.85,14.09,1
2017-05-01 03:00:00,3,4.48,6.44,1
2017-05-01 04:00:00,3,9.58,6.26,1
2017-05-01 05:00:00,3,,17.15,1
2017-05-01 06:00:00,3,36.95,19.73,1
2017-05-01 07:00:00,3,112.3,126.99,1
2017-05-01 08:00:00,3,31.67,49.73,1
2017-05-01 09:00:00,3,15.68,17.37,1
2017-05-01 10:00:00,3,18.63,38.94,1
2017-05-01 11:00:00,3,33.12,38.4,1
2017-05-01 13:00:00,3,15.79,7.77,1
2017-05-01 14:00:00,3,,11.2,1
2017-05-01 15:00:00,3,10.29,15.19,1
2017-05-01 16:00:00,3,0.1,10.81,1
2017-05-01 17:00:00,3,12.96,18.06,1
2017-05-01 18:00:00,3,1.21,12.28,1
2017-05-01 19:00:00,3,12.19,15.05,1
2017-05-01 20:00:00,3,,22.68,1
2017-05-01 21:00:00,3,8.5,14.82,1
2017-05-01 22:00:00,3,7.42,18.03,1
2017-05-01 23:00:00,3,15.26,22.85,1
2017-06-01 00:00:00,3,5.08,22.05,1
2017-06-01 01:00:00,3,7.42,19.16,1
2017-06-01 02:00:00,3,17.36,12.79,1
2017-06-01 03:00:00,3,6.35,14.99,1
2017-06-01 04:00:00,3,12.34,14.64,1
2017-06-01 05:00:00,3,6.71,25.48,1
2017-06-01 06:00:00,3,,24.92,1
2017-06-01 07:00:00,3,14.82,15.98,1
2017-06-01 08:00:00,3,8.69,25.77,1
2017-06-01 09:00:00,3,15.11,35.26,1
2017-06-01 10:00:00,3,67.1,75.45,1
2017-06-01 11:00:00,3,6.97,32.41,1
2017-06-01 12:00:00,3,10.67,30.26,1
2017-06-01 13:00:00,3,0.61,36.45,1
2017-06-01 14:00:00,3,13.06,30.43,1
2017-06-01 15:00:00,3,19.08,26.07,1
2017-06-01 16:00:00,3,21.31,14.04,1
2017-06-01 17:00:00,3,,9.75,1
2017-06-01 18:00:00,3,12.3,13.95,1
2017-06-01 19:00:00,3,3.38,8.81,1
2017-06-01 20:00:00,3,10.55,21.07,1
2017-06-01 21:00:00,3,0.35,16.6,1
2017-06-01 22:00:00,3,14.83,9.6,1
2017-06-01 23:00:00,3,9.8,16.81,1
2017-07-01 00:00:00,3,12.95,16.95,1
2017-07-01 01:00:00,3,3.6,14.79,1
2017-07-01 02:00:00,3,17.42,20.9,1
2017-07-01 03:00:00,3,7.99,14.72,1
2017-07-01 04:00:00,3,19.04,19.81,1
2017-07-01 05:00:00,3,,17.76,1
2017-07-01 06:00:00,3,9.13,17.7,1
2017-07-01 07:00:00,3,27.49,33.0,1
2017-07-01 08:00:00,3,5.29,21.04,1
2017-07-01 09:00:00,3,5.6,39.8,1
2017-07-01 10:00:00,3,3.51,22.19,1
2017-07-01 11:00:00,3,28.78,18.32,1
2017-07-01 12:00:00,3,,20.06,1
2017-07-01 13:00:00,3,37.96,33.05,1
2017-07-01 14:00:00,3,5.46,41.07,1
2017-07-01 15:00:00,3,11.5,26.93,1
