recorded_time,pm25,pm10,station,is_published
2017-01-01 00:00:00,454.08,490.32,7,1
2017-01-01 02:00:00,479.77,,7,1
2017-01-01 03:00:00,230.35,274.54,7,1
2017-01-01 04:00:00,222.96,250.84,7,1
2017-01-01 05:00:00,146.45,183.85,7,1
2017-01-01 06:00:00,98.28,127.92,7,1
2017-01-01 07:00:00,66.01,75.37,7,1
2017-01-01 08:00:00,30.02,52.65,7,1
2017-01-01 09:00:00,25.54,31.09,7,1
2017-01-01 10:00:00,39.62,64.66,7,1
2017-01-01 11:00:00,31.84,34.77,7,1
2017-01-01 12:00:00,27.09,57.22,7,1
2017-01-01 13:00:00,35.88,46.67,7,1
2017-01-01 14:00:00,21.01,43.66,7,1
2017-01-01 15:00:00,36.72,69.08,7,1
2017-01-01 16:00:00,43.29,74.19,7,1
2017-01-01 17:00:00,52.42,82.48,7,1
2017-01-01 18:00:00,80.83,108.42,7,1
2017-01-01 19:00:00,60.16,95.4,7,1
2017-01-01 20:00:00,44.92,77.89,7,1
2017-01-01 21:00:00,51.16,77.35,7,1
2017-01-01 22:00:00,28.3,50.3,7,1
2017-01-01 23:00:00,22.92,47.91,7,1
2017-02-01 00:00:00,17.14,25.68,7,1
2017-02-01 01:00:00,17.55,32.85,7,1
2017-02-01 02:00:00,19.57,29.61,7,1
2017-02-01 03:00:00,9.58,20.26,7,1
2017-02-01 04:00:00,21.01,24.79,7,1
2017-02-01 05:00:00,27.09,37.9,7,1
2017-02-01 06:00:00,27.03,47.17,7,1
2017-02-01 07:00:00,32.85,57.83,7,1
2017-02-01 08:00:00,44.73,70.88,7,1
2017-02-01 09:00:00,45.28,64.79,7,1
2017-02-01 10:00:00,43.14,75.47,7,1
2017-02-01 11:00:00,43.86,69.29,7,1
2017-02-01 12:00:00,42.57,54.71,7,1
2017-02-01 13:00:00,33.55,49.45,7,1
2017-02-01 14:00:00,29.09,48.53,7,1
2017-02-01 15:00:00,34.43,50.62,7,1
2017-02-01 16:00:00,57.35,96.03,7,1
2017-02-01 17:00:00,48.34,107.94,7,1
2017-02-01 18:00:00,71.6,126.62,7,1
2017-02-01 19:00:00,86.33,114.29,7,1
2017-02-01 20:00:00,56.87,87.59,7,1
2017-02-01 21:00:00,36.11,62.03,7,1
2017-02-01 22:00:00,41.97,69.79,7,1
2017-02-01 23:00:00,33.61,55.76,7,1
2017-03-01 00:00:00,28.46,50.52,7,1
2017-03-01 01:00:00,19.42,34.42,7,1
2017-03-01 02:00:00,18.34,36.13,7,1
2017-03-01 03:00:00,33.0,53.86,7,1
2017-03-01 04:00:00,39.41,59.71,7,1
2017-03-01 05:00:00,55.71,75.65,7,1
2017-03-01 06:00:00,66.89,96.87,7,1
2017-03-01 07:00:00,101.67,137.94,7,1
2017-03-01 08:00:00,109.57,166.32,7,1
2017-03-01 09:00:00,67.83,119.31,7,1
2017-03-01 10:00:00,72.84,110.55,7,1
2017-03-01 11:00:00,63.84,115.21,7,1
2017-03-01 12:00:00,52.73,89.16,7,1
2017-03-01 13:00:00,48.28,86.72,7,1
2017-03-01 14:00:00,61.37,100.54,7,1
2017-03-01 15:00:00,45.87,94.97,7,1
2017-03-01 16:00:00,67.83,108.23,7,1
2017-03-01 17:00:00,63.48,96.42,7,1
2017-03-01 18:00:00,59.32,97.63,7,1
2017-03-01 19:00:00,71.79,110.63,7,1
2017-03-01 20:00:00,68.8,106.84,7,1
2017-03-01 21:00:00,44.22,80.89,7,1
2017-03-01 22:00:00,50.48,64.72,7,1
2017-03-01 23:00:00,53.25,93.33,7,1
2017-04-01 00:00:00,57.68,94.37,7,1
2017-04-01 01:00:00,48.85,74.04,7,1
2017-04-01 02:00:00,30.18,57.29,7,1
2017-04-01 03:00:00,22.42,45.02,7,1
2017-04-01 04:00:00,49.01,65.94,7,1
2017-04-01 05:00:00,56.56,132.09,7,1
2017-04-01 06:00:00,105.08,149.25,7,1
2017-04-01 07:00:00,82.06,127.63,7,1
2017-04-01 08:00:00,83.24,118.45,7,1
2017-04-01 09:00:00,64.27,115.95,7,1
2017-04-01 10:00:00,76.29,100.43,7,1
2017-04-01 11:00:00,54.61,80.57,7,1
2017-04-01 12:00:00,63.65,114.49,7,1
2017-04-01 13:00:00,53.13,102.75,7,1
2017-04-01 14:00:00,63.53,105.41,7,1
2017-04-01 15:00:00,47.52,96.07,7,1
2017-04-01 16:00:00,81.57,128.3,7,1
2017-04-01 17:00:00,87.86,127.36,7,1
2017-04-01 18:00:00,91.66,140.36,7,1
2017-04-01 19:00:00,71.14,113.33,7,1
2017-04-01 20:00:00,62.03,102.11,7,1
2017-04-01 21:00:00,67.23,145.17,7,1
2017-04-01 22:00:00,82.79,196.35,7,1
2017-04-01 23:00:00,44.14,79.77,7,1
2017-05-01 00:00:00,25.14,56.92,7,1
2017-05-01 01:00:00,29.5,38.82,7,1
2017-05-01 02:00:00,34.78,80.32,7,1
2017-05-01 03:00:00,34.98,60.49,7,1
2017-05-01 04:00:00,58.02,95.75,7,1
2017-05-01 05:00:00,53.24,79.71,7,1
2017-05-01 06:00:00,123.49,145.8,7,1
2017-05-01 07:00:00,118.37,163.34,7,1
2017-05-01 08:00:00,112.76,179.5,7,1
2017-05-01 09:00:00,81.16,133.18,7,1
2017-05-01 10:00:00,109.26,134.65,7,1
2017-05-01 11:00:00,53.6,71.28,7,1
2017-05-01 12:00:00,44.72,73.91,7,1
2017-05-01 13:00:00,51.56,72.38,7,1
2017-05-01 14:00:00,59.34,87.26,7,1
2017-05-01 15:00:00,76.88,110.04,7,1
2017-05-01 16:00:00,79.69,101.56,7,1
2017-05-01 17:00:00,95.38,117.28,7,1
2017-05-01 18:00:00,125.21,171.26,7,1
2017-05-01 19:00:00,142.36,197.42,7,1
2017-05-01 20:00:00,98.66,135.72,7,1
2017-05-01 21:00:00,89.76,151.15,7,1
2017-05-01 22:00:00,62.66,103.46,7,1
