recorded_time,station,pm25,pm10,is_published
2017-01-01 02:00:00,9,,189.79,1
2017-01-01 03:00:00,9,,142.1,1
2017-01-01 04:00:00,9,,199.77,1
2017-01-01 05:00:00,9,,80.45,1
2017-01-01 06:00:00,9,,76.29,1
2017-01-01 07:00:00,9,,133.27,1
2017-01-01 10:00:00,9,,22.65,1
2017-01-01 14:00:00,9,,38.92,1
2017-01-01 15:00:00,9,,179.8,1
2017-01-30 12:00:00,9,80.07,,1
2017-01-30 15:00:00,9,50.62,,1
2017-01-30 16:00:00,9,26.64,,1
2017-01-30 17:00:00,9,5.71,,1
2017-01-30 18:00:00,9,35.18,,1
2017-01-30 19:00:00,9,28.39,,1
2017-01-30 20:00:00,9,12.35,,1
2017-01-30 21:00:00,9,29.62,,1
2017-01-30 22:00:00,9,9.69,,1
2017-01-30 23:00:00,9,3.48,,1
2017-01-31 00:00:00,9,21.17,,1
2017-01-31 01:00:00,9,21.12,,1
2017-01-31 02:00:00,9,25.67,,1
2017-01-31 03:00:00,9,15.11,,1
2017-01-31 04:00:00,9,39.37,,1
2017-01-31 05:00:00,9,249.03,,1
2017-01-31 06:00:00,9,169.76,,1
2017-01-31 09:00:00,9,16.35,,1
2017-01-31 10:00:00,9,7.99,,1
2017-01-31 13:00:00,9,6.59,,1
2017-01-31 15:00:00,9,5.87,,1
2017-01-31 16:00:00,9,29.45,,1
2017-01-31 17:00:00,9,35.97,,1
2017-01-31 18:00:00,9,44.33,,1
2017-01-31 19:00:00,9,86.11,,1
2017-01-31 20:00:00,9,74.86,,1
2017-01-31 21:00:00,9,27.88,,1
2017-01-31 22:00:00,9,30.76,,1
2017-01-31 23:00:00,9,63.84,,1
2017-01-02 00:00:00,9,131.46,,1
2017-01-02 01:00:00,9,122.67,,1
2017-01-02 02:00:00,9,93.58,,1
2017-01-02 03:00:00,9,79.73,,1
2017-01-02 04:00:00,9,62.02,,1
2017-01-02 05:00:00,9,32.11,,1
2017-01-02 06:00:00,9,63.33,,1
2017-01-02 07:00:00,9,107.14,,1
2017-01-02 12:00:00,9,5.74,,1
2017-01-02 13:00:00,9,27.14,,1
2017-01-02 15:00:00,9,82.96,,1
2017-01-02 16:00:00,9,58.12,,1
2017-01-02 18:00:00,9,339.25,,1
2017-01-02 19:00:00,9,681.09,,1
2017-01-02 20:00:00,9,131.05,,1
2017-01-02 22:00:00,9,111.4,,1
2017-01-02 23:00:00,9,177.87,,1
2017-02-02 00:00:00,9,78.87,,1
2017-02-02 01:00:00,9,79.05,,1
2017-02-02 02:00:00,9,149.8,,1
2017-02-02 03:00:00,9,212.61,,1
2017-02-02 04:00:00,9,52.46,,1
2017-02-02 06:00:00,9,28.32,,1
2017-02-02 10:00:00,9,31.12,,1
2017-02-02 12:00:00,9,20.41,,1
2017-02-02 13:00:00,9,27.57,,1
2017-02-02 15:00:00,9,35.92,,1
2017-02-02 16:00:00,9,105.17,,1
2017-02-02 17:00:00,9,119.28,,1
2017-02-02 18:00:00,9,114.49,,1
2017-02-02 19:00:00,9,84.94,,1
2017-02-02 20:00:00,9,36.4,,1
2017-02-02 22:00:00,9,19.94,,1
2017-02-02 23:00:00,9,6.32,,1
2017-03-02 00:00:00,9,22.8,,1
2017-03-02 01:00:00,9,58.42,,1
2017-03-02 02:00:00,9,29.28,,1
2017-03-02 04:00:00,9,22.45,,1
2017-03-02 05:00:00,9,28.76,,1
2017-03-02 06:00:00,9,62.64,,1
2017-03-02 10:00:00,9,41.95,,1
2017-03-02 11:00:00,9,47.17,,1
2017-03-02 12:00:00,9,1.09,,1
2017-03-02 15:00:00,9,7.26,92.33,1
2017-03-02 16:00:00,9,17.03,111.81,1
2017-03-02 17:00:00,9,18.69,,1
2017-03-02 18:00:00,9,30.29,,1
2017-03-02 19:00:00,9,18.56,,1
2017-03-02 20:00:00,9,19.45,,1
2017-03-02 21:00:00,9,14.87,,1
2017-03-02 22:00:00,9,17.6,,1
2017-03-02 23:00:00,9,32.22,,1
2017-04-02 00:00:00,9,19.6,103.06,1
2017-04-02 01:00:00,9,21.36,56.53,1
2017-04-02 02:00:00,9,66.31,265.29,1
2017-04-02 03:00:00,9,57.24,,1
2017-04-02 04:00:00,9,44.4,,1
2017-04-02 05:00:00,9,59.07,,1
2017-04-02 06:00:00,9,75.49,,1
2017-04-02 07:00:00,9,154.87,,1
2017-04-02 09:00:00,9,5.65,,1
2017-04-02 10:00:00,9,7.82,,1
2017-04-02 11:00:00,9,9.89,,1
2017-04-02 12:00:00,9,24.62,,1
2017-04-02 13:00:00,9,10.4,,1
2017-04-02 15:00:00,9,19.71,,1
2017-04-02 16:00:00,9,37.3,,1
2017-04-02 17:00:00,9,38.55,,1
2017-04-02 18:00:00,9,136.71,,1
