recorded_time,station,pm25,pm10,is_published
2017-01-01 00:00:00,10,162.84,,1
2017-01-01 01:00:00,10,433.05,,1
2017-01-01 02:00:00,10,300.06,,1
2017-01-01 03:00:00,10,218.5,,1
2017-01-01 04:00:00,10,90.28,,1
2017-01-01 05:00:00,10,187.19,,1
2017-01-01 06:00:00,10,279.97,,1
2017-01-01 07:00:00,10,177.5,,1
2017-01-01 08:00:00,10,46.48,,1
2017-01-01 09:00:00,10,32.23,,1
2017-01-01 10:00:00,10,21.47,,1
2017-01-01 11:00:00,10,0.8,,1
2017-01-01 13:00:00,10,10.45,,1
2017-01-01 14:00:00,10,15.32,,1
2017-01-01 15:00:00,10,8.09,,1
2017-01-01 16:00:00,10,7.3,,1
2017-01-01 17:00:00,10,0.49,,1
2017-01-01 18:00:00,10,11.36,,1
2017-01-01 19:00:00,10,19.01,,1
2017-01-01 20:00:00,10,10.66,,1
2017-01-01 21:00:00,10,12.4,,1
2017-01-01 22:00:00,10,7.18,,1
2017-01-01 23:00:00,10,10.71,,1
2017-02-01 00:00:00,10,15.65,,1
2017-02-01 01:00:00,10,17.82,,1
2017-02-01 02:00:00,10,16.25,,1
2017-02-01 03:00:00,10,8.33,,1
2017-02-01 04:00:00,10,8.61,,1
2017-02-01 05:00:00,10,13.18,,1
2017-02-01 06:00:00,10,14.71,,1
2017-02-01 07:00:00,10,14.19,,1
2017-02-01 08:00:00,10,30.22,,1
2017-02-01 09:00:00,10,13.48,,1
2017-02-01 10:00:00,10,24.43,,1
2017-02-01 11:00:00,10,22.41,,1
2017-02-01 12:00:00,10,20.12,,1
2017-02-01 13:00:00,10,0.21,,1
2017-02-01 14:00:00,10,11.89,,1
2017-02-01 15:00:00,10,8.01,,1
2017-02-01 16:00:00,10,8.62,,1
2017-02-01 17:00:00,10,6.6,,1
2017-02-01 18:00:00,10,13.81,,1
2017-02-01 19:00:00,10,12.29,,1
2017-02-01 20:00:00,10,13.83,,1
2017-02-01 21:00:00,10,6.6,,1
2017-02-01 23:00:00,10,17.18,,1
2017-03-01 00:00:00,10,16.72,,1
2017-03-01 01:00:00,10,17.39,,1
2017-03-01 02:00:00,10,19.98,,1
2017-03-01 03:00:00,10,20.48,,1
2017-03-01 04:00:00,10,21.46,,1
2017-03-01 05:00:00,10,24.47,,1
2017-03-01 06:00:00,10,36.09,,1
2017-03-01 07:00:00,10,29.94,,1
2017-03-01 08:00:00,10,23.28,,1
2017-03-01 09:00:00,10,20.11,,1
2017-03-01 10:00:00,10,21.74,,1
2017-03-01 11:00:00,10,30.77,,1
2017-03-01 12:00:00,10,46.02,,1
2017-03-01 13:00:00,10,51.42,,1
2017-03-01 14:00:00,10,54.01,,1
2017-03-01 15:00:00,10,56.49,,1
2017-03-01 16:00:00,10,6.44,332.42,1
2017-03-01 17:00:00,10,,126.22,1
2017-03-01 18:00:00,10,,9.58,1
2017-03-01 19:00:00,10,,26.71,1
2017-03-01 20:00:00,10,8.51,31.11,1
2017-03-01 21:00:00,10,6.64,28.29,1
2017-03-01 22:00:00,10,5.27,40.56,1
2017-03-01 23:00:00,10,14.66,32.26,1
2017-04-01 00:00:00,10,9.83,37.25,1
2017-04-01 01:00:00,10,10.28,23.39,1
2017-04-01 02:00:00,10,18.98,39.04,1
2017-04-01 03:00:00,10,21.01,38.13,1
2017-04-01 04:00:00,10,22.05,49.52,1
2017-04-01 05:00:00,10,21.37,38.57,1
2017-04-01 06:00:00,10,27.05,58.93,1
2017-04-01 07:00:00,10,31.27,59.48,1
2017-04-01 08:00:00,10,36.36,56.61,1
2017-04-01 09:00:00,10,11.67,40.71,1
2017-04-01 10:00:00,10,10.1,33.0,1
2017-04-01 11:00:00,10,11.4,35.07,1
2017-04-01 12:00:00,10,1.73,20.81,1
2017-04-01 13:00:00,10,9.83,29.64,1
2017-04-01 14:00:00,10,17.52,32.12,1
2017-04-01 15:00:00,10,13.4,34.9,1
2017-04-01 16:00:00,10,11.91,23.6,1
2017-04-01 17:00:00,10,12.14,27.02,1
2017-04-01 18:00:00,10,17.86,29.48,1
2017-04-01 19:00:00,10,10.65,23.5,1
2017-04-01 20:00:00,10,13.45,26.99,1
2017-04-01 21:00:00,10,9.12,25.06,1
2017-04-01 22:00:00,10,9.51,18.47,1
2017-04-01 23:00:00,10,6.01,15.9,1
2017-05-01 00:00:00,10,9.26,22.02,1
2017-05-01 01:00:00,10,17.34,30.89,1
2017-05-01 02:00:00,10,17.88,31.28,1
2017-05-01 03:00:00,10,18.87,28.45,1
2017-05-01 04:00:00,10,28.68,48.15,1
2017-05-01 05:00:00,10,28.59,52.26,1
2017-05-01 06:00:00,10,36.66,53.76,1
2017-05-01 07:00:00,10,31.62,45.69,1
2017-05-01 08:00:00,10,26.12,24.89,1
2017-05-01 09:00:00,10,13.15,31.95,1
2017-05-01 10:00:00,10,38.78,57.79,1
2017-05-01 11:00:00,10,66.4,70.14,1
2017-05-01 12:00:00,10,18.24,24.42,1
2017-05-01 13:00:00,10,27.23,42.18,1
2017-05-01 14:00:00,10,18.24,24.1,1
2017-05-01 15:00:00,10,20.18,28.38,1
2017-05-01 16:00:00,10,9.91,4.92,1
2017-05-01 17:00:00,10,11.08,13.36,1
2017-05-01 18:00:00,10,10.36,25.06,1
2017-05-01 19:00:00,10,12.64,29.93,1
2017-05-01 20:00:00,10,10.5,22.76,1
2017-05-01 21:00:00,10,11.7,10.78,1
2017-05-01 22:00:00,10,14.05,27.53,1
2017-05-01 23:00:00,10,10.22,30.66,1
2017-06-01 00:00:00,10,9.23,18.8,1
2017-06-01 01:00:00,10,11.0,39.32,1
2017-06-01 02:00:00,10,12.26,37.49,1
2017-06-01 03:00:00,10,12.64,34.97,1
2017-06-01 04:00:00,10,12.05,20.5,1
2017-06-01 05:00:00,10,12.19,39.91,1
2017-06-01 06:00:00,10,17.63,37.82,1
2017-06-01 07:00:00,10,22.2,54.72,1
2017-06-01 08:00:00,10,25.26,45.16,1
2017-06-01 09:00:00,10,24.21,61.39,1
2017-06-01 10:00:00,10,19.93,41.96,1
2017-06-01 11:00:00,10,13.49,46.87,1
2017-06-01 12:00:00,10,23.3,42.66,1
2017-06-01 13:00:00,10,28.31,52.14,1
2017-06-01 14:00:00,10,41.32,77.03,1
2017-06-01 15:00:00,10,47.36,82.53,1
2017-06-01 16:00:00,10,21.9,46.24,1
2017-06-01 19:00:00,10,,13.32,1
2017-06-01 20:00:00,10,2.7,10.02,1
2017-06-01 21:00:00,10,2.12,12.02,1
2017-06-01 22:00:00,10,2.07,6.51,1
2017-06-01 23:00:00,10,7.33,17.08,1
2017-07-01 00:00:00,10,9.87,31.36,1
2017-07-01 01:00:00,10,11.85,31.74,1
