recorded_time,station,pm25,pm10,is_published
2017-03-16 14:00:00,1,,55.58,1
2017-03-16 15:00:00,1,,50.41,1
2017-03-16 16:00:00,1,,111.24,1
2017-03-16 17:00:00,1,,84.49,1
2017-03-16 18:00:00,1,,63.29,1
2017-03-16 19:00:00,1,,85.51,1
2017-03-16 20:00:00,1,,69.45,1
2017-03-16 21:00:00,1,,62.29,1
2017-03-16 22:00:00,1,,56.88,1
2017-03-16 23:00:00,1,,85.54,1
2017-03-17 00:00:00,1,,67.16,1
2017-03-17 01:00:00,1,,41.83,1
2017-03-17 02:00:00,1,,50.19,1
2017-03-17 03:00:00,1,,47.33,1
2017-03-17 04:00:00,1,,64.63,1
2017-03-17 05:00:00,1,,54.76,1
2017-03-17 06:00:00,1,,52.11,1
2017-03-17 07:00:00,1,,24.72,1
2017-03-17 08:00:00,1,,38.6,1
2017-03-17 09:00:00,1,,58.02,1
2017-03-17 10:00:00,1,,120.22,1
2017-03-17 11:00:00,1,,138.12,1
2017-03-17 12:00:00,1,,56.5,1
2017-03-17 13:00:00,1,,107.44,1
2017-03-17 14:00:00,1,,129.26,1
2017-03-17 15:00:00,1,,108.85,1
2017-03-17 16:00:00,1,,55.13,1
2017-03-17 17:00:00,1,,47.82,1
2017-03-17 18:00:00,1,,103.61,1
2017-03-17 19:00:00,1,,96.12,1
2017-03-17 20:00:00,1,,85.74,1
2017-03-17 21:00:00,1,,82.19,1
2017-03-17 22:00:00,1,,58.78,1
2017-03-17 23:00:00,1,,55.27,1
2017-03-18 00:00:00,1,,38.71,1
2017-03-18 01:00:00,1,,20.95,1
2017-03-18 02:00:00,1,,54.39,1
2017-03-18 03:00:00,1,,56.09,1
2017-03-18 04:00:00,1,,64.23,1
2017-03-18 05:00:00,1,,74.62,1
2017-03-18 06:00:00,1,,39.64,1
2017-03-18 07:00:00,1,,16.87,1
2017-03-18 08:00:00,1,,73.95,1
2017-03-18 09:00:00,1,,54.3,1
2017-03-18 10:00:00,1,,62.73,1
2017-03-18 11:00:00,1,,40.6,1
2017-03-18 12:00:00,1,,49.48,1
2017-03-18 13:00:00,1,,63.87,1
2017-03-18 14:00:00,1,,59.48,1
2017-03-18 15:00:00,1,,61.9,1
2017-03-18 16:00:00,1,,57.26,1
2017-03-18 17:00:00,1,,75.87,1
2017-03-18 18:00:00,1,,92.72,1
2017-03-18 19:00:00,1,,93.06,1
2017-03-18 20:00:00,1,,87.9,1
2017-03-18 21:00:00,1,,183.01,1
2017-03-18 22:00:00,1,,105.37,1
2017-03-18 23:00:00,1,,40.17,1
2017-03-19 00:00:00,1,,118.06,1
2017-03-19 01:00:00,1,,86.85,1
2017-03-19 02:00:00,1,,84.6,1
2017-03-19 03:00:00,1,,56.0,1
2017-03-19 04:00:00,1,,94.54,1
2017-03-19 05:00:00,1,,110.98,1
2017-03-19 06:00:00,1,,116.13,1
2017-03-19 07:00:00,1,,83.25,1
