recorded_time,station,pm25,pm10,is_published
2017-11-01 13:00:00,6,,263.87,1
2017-11-01 14:00:00,6,51.36,134.4,1
2017-11-01 15:00:00,6,36.06,59.83,1
2017-11-01 16:00:00,6,31.44,86.03,1
2017-11-01 17:00:00,6,18.22,141.9,1
2017-11-01 18:00:00,6,42.52,,1
2017-11-01 19:00:00,6,37.98,,1
2017-11-01 20:00:00,6,21.57,,1
2017-11-01 21:00:00,6,13.48,,1
2017-11-01 22:00:00,6,27.07,,1
2017-11-01 23:00:00,6,38.13,,1
2017-12-01 03:00:00,6,,126.01,1
2017-12-01 05:00:00,6,,272.61,1
2017-12-01 08:00:00,6,,456.18,1
2017-12-01 10:00:00,6,,11.84,1
2017-12-01 11:00:00,6,,325.37,1
2017-12-01 12:00:00,6,,546.61,1
2017-12-01 13:00:00,6,,504.98,1
2017-12-01 14:00:00,6,,248.48,1
2017-12-01 15:00:00,6,,86.0,1
2017-12-01 17:00:00,6,,275.69,1
2017-12-01 18:00:00,6,,439.96,1
2017-12-01 19:00:00,6,,656.44,1
2017-12-01 20:00:00,6,,550.97,1
2017-12-01 21:00:00,6,,75.96,1
2017-12-01 23:00:00,6,,288.79,1
2017-01-13 01:00:00,6,,280.71,1
2017-01-13 02:00:00,6,,294.6,1
2017-01-13 03:00:00,6,,252.01,1
2017-01-13 16:00:00,6,,25.33,1
2017-01-13 17:00:00,6,,146.78,1
2017-01-13 18:00:00,6,,112.6,1
2017-01-13 19:00:00,6,,156.13,1
2017-01-13 20:00:00,6,,680.55,1
2017-01-13 21:00:00,6,,562.03,1
2017-01-13 22:00:00,6,,19.46,1
2017-01-13 23:00:00,6,,344.08,1
2017-01-14 00:00:00,6,,304.09,1
2017-01-14 01:00:00,6,,163.13,1
2017-01-14 02:00:00,6,,377.62,1
2017-01-14 03:00:00,6,,605.58,1
2017-01-14 04:00:00,6,,757.29,1
2017-01-14 05:00:00,6,,657.44,1
2017-01-14 06:00:00,6,,891.12,1
