recorded_time,station,pm25,pm10,is_published
2017-01-01 00:00:00,5,,282.99,1
2017-01-01 03:00:00,5,,450.5,1
2017-01-01 04:00:00,5,,467.7,1
2017-01-01 05:00:00,5,,331.17,1
2017-01-01 06:00:00,5,,116.17,1
2017-01-01 07:00:00,5,,58.62,1
2017-01-01 08:00:00,5,,40.59,1
2017-01-01 09:00:00,5,,14.07,1
2017-01-01 11:00:00,5,,21.54,1
2017-01-01 13:00:00,5,,3.82,1
2017-01-01 14:00:00,5,,0.35,1
2017-01-01 15:00:00,5,,18.2,1
2017-01-01 16:00:00,5,,17.47,1
2017-01-01 17:00:00,5,,38.62,1
2017-01-01 18:00:00,5,,15.53,1
2017-01-01 19:00:00,5,,25.06,1
2017-01-01 20:00:00,5,,36.72,1
2017-01-01 21:00:00,5,,26.98,1
2017-01-01 22:00:00,5,,43.06,1
2017-01-01 23:00:00,5,,31.37,1
2017-02-01 00:00:00,5,,32.26,1
2017-02-01 01:00:00,5,,24.09,1
2017-02-01 02:00:00,5,,26.98,1
2017-02-01 03:00:00,5,,22.05,1
2017-02-01 04:00:00,5,,18.32,1
2017-02-01 05:00:00,5,,22.54,1
2017-02-01 06:00:00,5,,13.03,1
2017-02-01 07:00:00,5,,2.86,1
2017-02-01 08:00:00,5,,19.92,1
2017-02-01 09:00:00,5,,25.43,1
2017-02-01 10:00:00,5,,11.05,1
2017-02-01 11:00:00,5,,17.16,1
2017-02-01 12:00:00,5,,9.82,1
2017-02-01 13:00:00,5,,19.75,1
2017-02-01 14:00:00,5,,17.9,1
2017-02-01 15:00:00,5,,21.54,1
2017-02-01 16:00:00,5,,11.45,1
2017-02-01 17:00:00,5,,22.5,1
2017-02-01 18:00:00,5,,20.39,1
2017-02-01 19:00:00,5,,30.08,1
2017-02-01 20:00:00,5,,24.13,1
2017-02-01 21:00:00,5,,27.53,1
2017-02-01 22:00:00,5,,25.29,1
2017-02-01 23:00:00,5,,36.38,1
2017-03-01 00:00:00,5,,21.26,1
2017-03-01 01:00:00,5,,18.49,1
2017-03-01 02:00:00,5,,17.53,1
2017-03-01 03:00:00,5,,29.02,1
2017-03-01 04:00:00,5,,27.71,1
2017-03-01 05:00:00,5,,27.98,1
2017-03-01 06:00:00,5,,40.27,1
2017-03-01 07:00:00,5,,60.77,1
2017-03-01 08:00:00,5,,54.41,1
2017-03-01 09:00:00,5,,39.91,1
2017-03-01 10:00:00,5,,22.66,1
2017-03-01 11:00:00,5,,5.41,1
2017-03-01 12:00:00,5,,20.64,1
2017-03-01 13:00:00,5,,9.97,1
2017-03-01 14:00:00,5,,15.95,1
2017-03-01 15:00:00,5,,33.25,1
2017-03-01 16:00:00,5,,28.59,1
2017-03-01 17:00:00,5,,26.45,1
2017-03-01 18:00:00,5,,42.03,1
2017-03-01 19:00:00,5,,37.63,1
2017-03-01 20:00:00,5,,35.15,1
2017-03-01 21:00:00,5,,43.03,1
2017-03-01 22:00:00,5,,34.67,1
2017-03-01 23:00:00,5,,42.44,1
2017-04-01 00:00:00,5,,32.33,1
2017-04-01 01:00:00,5,,29.74,1
2017-04-01 02:00:00,5,,24.84,1
2017-04-01 03:00:00,5,,24.64,1
2017-04-01 04:00:00,5,,21.33,1
