recorded_time,station,pm25,pm10,is_published
2017-01-01 00:00:00,12,323.76,365.61,1
2017-01-01 01:00:00,12,320.1,359.65,1
2017-01-01 02:00:00,12,159.97,175.96,1
2017-01-01 03:00:00,12,111.47,131.64,1
2017-01-01 04:00:00,12,258.51,283.48,1
2017-01-01 05:00:00,12,272.64,306.7,1
2017-01-01 06:00:00,12,163.4,188.8,1
2017-01-01 07:00:00,12,49.15,46.85,1
2017-01-01 08:00:00,12,22.7,34.05,1
2017-01-01 09:00:00,12,1.21,23.33,1
2017-01-01 10:00:00,12,26.09,24.26,1
2017-01-01 11:00:00,12,32.65,36.86,1
2017-01-01 12:00:00,12,14.93,40.41,1
2017-01-01 13:00:00,12,40.65,54.83,1
2017-01-01 14:00:00,12,31.66,30.93,1
2017-01-01 15:00:00,12,14.64,33.56,1
2017-01-01 16:00:00,12,13.93,31.87,1
2017-01-01 17:00:00,12,2.11,0.88,1
2017-01-01 18:00:00,12,,22.26,1
2017-01-01 19:00:00,12,,11.73,1
2017-01-01 20:00:00,12,,18.37,1
2017-01-01 21:00:00,12,10.6,18.61,1
2017-01-01 22:00:00,12,9.31,23.48,1
2017-01-01 23:00:00,12,13.26,21.41,1
2017-02-01 00:00:00,12,16.48,22.23,1
2017-02-01 01:00:00,12,,29.04,1
2017-02-01 02:00:00,12,4.88,20.31,1
2017-02-01 03:00:00,12,6.75,8.92,1
2017-02-01 04:00:00,12,3.49,13,1
2017-02-01 05:00:00,12,5.01,27.63,1
2017-02-01 06:00:00,12,11.87,23.52,1
2017-02-01 07:00:00,12,3.96,38.33,1
2017-02-01 08:00:00,12,24.66,42.77,1
2017-02-01 09:00:00,12,20.08,30.32,1
2017-02-01 10:00:00,12,35.21,50.91,1
2017-02-01 11:00:00,12,14.55,37.4,1
2017-02-01 12:00:00,12,46.73,46.34,1
2017-02-01 13:00:00,12,31.37,35.53,1
2017-02-01 14:00:00,12,20.87,32.33,1
2017-02-01 15:00:00,12,9.87,17.77,1
2017-02-01 16:00:00,12,21.61,24.14,1
2017-02-01 17:00:00,12,3.09,25.4,1
2017-02-01 18:00:00,12,4.54,24.57,1
2017-02-01 19:00:00,12,1.63,24.52,1
2017-02-01 20:00:00,12,,11,1
2017-02-01 21:00:00,12,3.39,24.88,1
2017-02-01 22:00:00,12,13.55,31.11,1
2017-02-01 23:00:00,12,21.29,34.7,1
2017-03-01 00:00:00,12,20.83,26.33,1
2017-03-01 01:00:00,12,19.11,42.96,1
2017-03-01 02:00:00,12,17.38,43.82,1
2017-03-01 03:00:00,12,31.3,34.93,1
2017-03-01 04:00:00,12,22.83,54.92,1
2017-03-01 05:00:00,12,49.37,59.31,1
2017-03-01 06:00:00,12,30.59,45.08,1
2017-03-01 07:00:00,12,18.38,70.57,1
2017-03-01 08:00:00,12,,32.54,1
2017-03-01 09:00:00,12,21.28,47.01,1
2017-03-01 10:00:00,12,19.6,55.12,1
2017-03-01 11:00:00,12,28.54,56.97,1
2017-03-01 12:00:00,12,40.41,66.22,1
2017-03-01 13:00:00,12,45.13,44.66,1
2017-03-01 14:00:00,12,35.25,44.31,1
2017-03-01 15:00:00,12,33.94,27.54,1
2017-03-01 16:00:00,12,,17.39,1
2017-03-01 17:00:00,12,12.63,8.57,1
2017-03-01 18:00:00,12,,21.53,1
2017-03-01 19:00:00,12,13.58,32.87,1
2017-03-01 20:00:00,12,11,50.17,1
2017-03-01 21:00:00,12,,38.03,1
2017-03-01 22:00:00,12,9.42,46.23,1
2017-03-01 23:00:00,12,25.19,68.79,1
2017-04-01 01:00:00,12,40.59,87.64,1
2017-04-01 02:00:00,12,35.41,67.21,1
2017-04-01 03:00:00,12,35.22,71.26,1
2017-04-01 04:00:00,12,26.97,73.2,1
2017-04-01 05:00:00,12,61.16,129.52,1
2017-04-01 06:00:00,12,60.13,109.72,1
2017-04-01 07:00:00,12,30.63,52.47,1
2017-04-01 08:00:00,12,16.98,64.41,1
2017-04-01 09:00:00,12,25.06,53.37,1
2017-04-01 10:00:00,12,29.38,47.73,1
2017-04-01 11:00:00,12,27.78,51.65,1
2017-04-01 12:00:00,12,25.69,46.06,1
2017-04-01 13:00:00,12,17.18,30.75,1
2017-04-01 14:00:00,12,18.51,52.73,1
2017-04-01 15:00:00,12,19.68,34.89,1
2017-04-01 16:00:00,12,9.54,27.67,1
2017-04-01 17:00:00,12,14.41,19.24,1
2017-04-01 18:00:00,12,5.26,20.5,1
2017-04-01 19:00:00,12,0.34,23.85,1
2017-04-01 20:00:00,12,,18.73,1
2017-04-01 21:00:00,12,,23.27,1
2017-04-01 22:00:00,12,,29.19,1
2017-04-01 23:00:00,12,13.2,27.76,1
2017-05-01 01:00:00,12,12.22,42.52,1
2017-05-01 02:00:00,12,31.14,48.09,1
2017-05-01 03:00:00,12,25.67,40.75,1
2017-05-01 04:00:00,12,39.88,103.84,1
2017-05-01 05:00:00,12,12.83,31.02,1
2017-05-01 06:00:00,12,14.81,38.19,1
2017-05-01 07:00:00,12,17.66,43.98,1
2017-05-01 08:00:00,12,15.33,36.53,1
2017-05-01 09:00:00,12,22.33,54.78,1
2017-05-01 10:00:00,12,59.94,69.57,1
2017-05-01 11:00:00,12,45.83,64.64,1
2017-05-01 12:00:00,12,30.71,43.65,1
2017-05-01 13:00:00,12,33.7,59.65,1
2017-05-01 14:00:00,12,30.71,56.08,1
2017-05-01 15:00:00,12,14.02,30.57,1
2017-05-01 16:00:00,12,14.08,19.08,1
2017-05-01 17:00:00,12,23.12,29.18,1
2017-05-01 18:00:00,12,10.92,31.8,1
2017-05-01 19:00:00,12,,19.69,1
2017-05-01 20:00:00,12,2.57,14.45,1
2017-05-01 21:00:00,12,,17.33,1
2017-05-01 22:00:00,12,3.52,7.04,1
2017-05-01 23:00:00,12,4.57,21.82,1
2017-06-01 01:00:00,12,13.52,44.98,1
2017-06-01 02:00:00,12,15.46,47.81,1
2017-06-01 03:00:00,12,18.65,41.3,1
2017-06-01 04:00:00,12,15.84,38.81,1
2017-06-01 05:00:00,12,33.86,75.01,1
2017-06-01 06:00:00,12,36.36,81.6,1
2017-06-01 07:00:00,12,10.72,48.26,1
2017-06-01 08:00:00,12,10.95,43.42,1
2017-06-01 09:00:00,12,1.29,36.19,1
2017-06-01 10:00:00,12,20.81,48.06,1
2017-06-01 11:00:00,12,22.37,54.83,1
2017-06-01 12:00:00,12,42.71,56.09,1
2017-06-01 13:00:00,12,43.43,44.93,1
2017-06-01 14:00:00,12,44.91,50.49,1
2017-06-01 15:00:00,12,27.54,25.95,1
2017-06-01 16:00:00,12,11.19,28.89,1
2017-06-01 17:00:00,12,29.41,25.85,1
2017-06-01 18:00:00,12,,30.26,1
2017-06-01 19:00:00,12,,23.01,1
2017-06-01 20:00:00,12,,15.39,1
2017-06-01 21:00:00,12,,16.96,1
2017-06-01 22:00:00,12,9.82,20.52,1
2017-06-01 23:00:00,12,,26.34,1
2017-07-01 00:00:00,12,5.24,11.76,1
2017-07-01 01:00:00,12,21.82,50.23,1
2017-07-01 02:00:00,12,9.88,39.54,1
2017-07-01 03:00:00,12,9.94,33.51,1
2017-07-01 04:00:00,12,29.38,71.65,1
2017-07-01 05:00:00,12,48.91,90.14,1
2017-07-01 06:00:00,12,63.97,100.78,1
2017-07-01 07:00:00,12,20.88,77.35,1
2017-07-01 08:00:00,12,,44.35,1
2017-07-01 09:00:00,12,,46.64,1
2017-07-01 10:00:00,12,16.6,51.71,1
2017-07-01 11:00:00,12,26.43,58.94,1
2017-07-01 12:00:00,12,39.23,44.45,1
2017-07-01 13:00:00,12,53.42,75.03,1
2017-07-01 14:00:00,12,39.05,62.03,1
2017-07-01 15:00:00,12,37.86,37.78,1
2017-07-01 16:00:00,12,0.48,28.1,1
2017-07-01 17:00:00,12,16.43,30.22,1
2017-07-01 18:00:00,12,36.34,95.88,1
2017-07-01 19:00:00,12,11.6,87.37,1
2017-07-01 20:00:00,12,0.98,11.26,1
