YEAR,MONTH,DAY,RAINFALL,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_MEAN,RELATIVE_HUMIDITY,WIND_SPEED,WIND_DIRECTION,CLOUD,STATION_PRESSURE
2002,1,1,-999,28.6,23.1,25.9,77,2,130,7,1012.2
2002,1,2,-999,28.9,23.3,26.1,74,2,100,6,1013.3
2002,1,3,-999,30.2,20.8,25.5,65,3,80,6,1014.5
2002,1,4,-999,28.7,20.2,24.5,62,3,80,4,1014.4
2002,1,5,-999,29.4,19.5,24.5,66,2,100,3,1014
2002,1,6,-999,29.9,20.6,25.3,69,3,120,2,1013.6
2002,1,7,-999,29.1,20,24.5,70,2,100,3,1014.7
2002,1,8,-999,28.8,22.8,25.8,60,3,80,5,1015.6
2002,1,9,-999,28.2,20.3,24.3,66,2,100,5,1014.9
2002,1,10,-999,28.1,20.2,24.2,68,2,90,4,1013.6
2002,1,11,-999,29.3,19.5,24.4,65,2,100,6,1012.4
2002,1,12,-999,29.9,22.7,26.3,66,2,70,5,1010.5
2002,1,13,-999,29.1,23.4,26.3,77,2,240,6,1008.8
2002,1,14,-999,31.8,24.5,28.2,74,3,120,3,1010.1
2002,1,15,-999,32.2,24.8,28.5,71,3,100,3,1010.3
2002,1,16,-999,30.8,23.8,27.3,78,2,120,5,1010.1
2002,1,17,-999,31.5,24.5,28,71,3,120,4,1008.9
2002,1,18,-999,31.6,23.1,27.4,64,3,110,3,1009
2002,1,19,-999,30.5,22.6,26.5,67,4,110,3,1010.1
2002,1,20,-999,31.4,22.1,26.8,66,3,100,2,1010.8
2002,1,21,-999,30.9,22.7,26.8,67,1,100,4,1011.4
2002,1,22,-999,29.7,24.1,26.9,72,2,100,6,1011.4
2002,1,23,-999,30.1,23.2,26.7,70,3,120,6,1012.1
2002,1,24,-999,29.6,23.6,26.6,71,5,100,5,1012.2
2002,1,25,-999,29.8,22.9,26.4,81,3,90,4,1011.4
2002,1,26,-999,31.1,23.8,27.5,68,2,110,6,1011.2
2002,1,27,-999,31.2,21.8,26.5,72,2,120,4,1011.9
2002,1,28,-999,30.5,21.7,26.1,68,2,110,4,1013.3
2002,1,29,-999,31.3,23.1,27.2,70,2,100,6,1013.3
2002,1,30,-999,29,23.5,26.3,68,3,90,4,1013.6
2002,1,31,-999,26.1,22.3,24.2,85,1,40,8,1014
2002,2,1,-999,29,21.3,25.2,77,4,90,5,1013.5
2002,2,2,-999,29,20.5,24.8,67,2,130,4,1012.6
2002,2,3,-999,30,20.3,25.2,66,4,110,2,1012.1
2002,2,4,-999,28.8,22.2,25.5,67,2,110,5,1011.2
2002,2,5,-999,31,23.8,27.4,64,1,130,5,1010.6
2002,2,6,-999,30.1,24.6,27.4,66,2,110,5,1010.6
2002,2,7,-999,31.2,24.8,28,61,2,110,4,1010.4
2002,2,8,-999,29.1,23.6,26.4,84,2,100,8,1010.6
2002,2,9,-999,29.1,23.5,26.3,79,2,120,7,1009.6
2002,2,10,-999,31.6,24.8,28.2,71,2,130,5,1010.3
2002,2,11,-999,26.7,23.5,25.1,75,2,120,7,1012.9
2002,2,12,-999,29,24.3,26.7,67,2,110,7,1013.2
2002,2,13,-999,29.1,24.3,26.7,68,4,100,7,1013
2002,2,14,-999,30.2,21.6,25.9,65,3,100,5,1013.8
2002,2,15,-999,29.5,22.8,26.2,64,3,100,4,1013.6
2002,2,16,-999,30.4,22.5,26.5,59,3,90,3,1013
2002,2,17,-999,30,22.3,26.2,62,2,100,4,1013.3
2002,2,18,-999,30.8,21.9,26.4,58,3,100,4,1014.6
2002,2,19,-999,31.9,24.7,28.3,61,4,110,4,1014.8
2002,2,20,-999,29.2,21.8,25.5,61,4,90,5,1015.6
2002,2,21,-999,29.9,21.8,25.9,61,3,90,5,1015.5
2002,2,22,-999,31.2,23.1,27.2,66,3,140,5,1014.7
2002,2,23,-999,31.6,24.9,28.3,67,3,120,3,1012.7
2002,2,24,-999,31.1,25.2,28.2,68,3,120,3,1012.1
2002,2,25,-999,30.5,25,27.8,66,4,100,6,1013.4
