YEAR,MONTH,DAY,RAINFALL,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_MEAN,RELATIVE_HUMIDITY,WIND_SPEED,WIND_DIRECTION,CLOUD,STATION_PRESSURE
2002,1,1,0,29.6,23.5,26.5,78,3,300,8,1011.9
2002,1,2,0,29.5,24,26.8,73,3,360,8,1013.1
2002,1,3,0,28.5,21,24.8,66,4,360,7,1014.3
2002,1,4,0,29.1,20.5,24.8,63,3,360,7,1014.7
2002,1,5,0,29.6,22,25.8,62,3,40,7,1013.9
2002,1,6,0,31,20.5,25.8,66,2,90,6,1014.2
2002,1,7,0,28,21,24.5,70,3,240,7,1014
2002,1,8,0,28.4,19.6,24,64,3,20,5,1014.5
2002,1,9,0,28,20.2,24.1,68,4,360,7,1014.4
2002,1,10,0,27.4,21,24.2,73,3,200,7,1013.5
2002,1,11,0,28.8,21.8,25.3,72,3,220,6,1011.6
2002,1,12,0,28.7,23,25.9,70,2,220,8,1010.4
2002,1,13,0,30,24,27,79,3,360,8,1008
2002,1,14,0,32.3,24.5,28.4,74,2,270,6,1009.7
2002,1,15,0,33,24,28.5,75,3,360,5,1009.6
2002,1,16,0,29.2,24.5,26.9,81,2,180,7,1009.8
2002,1,17,0,33,25.5,29.3,72,3,120,6,1008.6
2002,1,18,0,31.8,25,28.4,70,3,90,4,1008.8
2002,1,19,0,30.1,23,26.5,72,3,90,6,1010.3
2002,1,20,0,30.5,21.8,26.2,69,3,90,7,1010.7
2002,1,21,0,29.4,23,26.2,74,3,220,6,1010
2002,1,22,0,28.6,23,25.8,77,2,180,8,1010.6
2002,1,23,0,30,24.5,27.3,72,2,60,7,1011.2
2002,1,24,0,30,24.5,27.3,72,3,60,7,1011.2
2002,1,25,0,30,22.2,26.1,74,3,60,6,1010.6
2002,1,26,0.2,31,24,27.5,71,3,240,8,1010.2
2002,1,27,0,30,23.5,26.8,73,2,90,7,1010.8
2002,1,28,0,29.5,23.5,26.5,73,3,270,7,1012.3
2002,1,29,0,29,21.6,25.3,75,3,180,6,1012.7
2002,1,30,0,30,23,26.5,73,3,240,6,1012.5
2002,1,31,7.3,26.6,22.1,24.4,83,2,360,8,1013
2002,2,1,7,29.2,22.5,25.9,82,3,40,6,1012.7
2002,2,2,0,29,21.3,25.2,71,3,200,7,1012.2
2002,2,3,0,30,22.5,26.3,70,2,270,6,1011.2
2002,2,4,0,29.2,23,26.1,71,2,40,7,1011.2
2002,2,5,0,29.8,22.8,26.3,77,3,240,7,1010.6
2002,2,6,0,29.8,25,27.4,72,3,220,7,1010.4
2002,2,7,0,30,24.5,27.3,71,2,220,6,1010.4
2002,2,8,2.1,28.2,24,26.1,86,2,240,8,1010.6
2002,2,9,0.8,28.2,24,26.1,86,2,360,8,1009.8
