YEAR,MONTH,DAY,RAINFALL,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_MEAN,RELATIVE_HUMIDITY,WIND_SPEED,WIND_DIRECTION,CLOUD,STATION_PRESSURE
2002,1,1,0,24.3,18.6,21.5,94,1,20,5,941.7
2002,1,2,0,24,19,21.5,90,4,20,7,942.2
2002,1,3,0,24,17.3,20.7,90,6,20,6,943
2002,1,4,0,21,16.5,18.8,88,4,20,3,943.8
2002,1,5,0,24,17.2,20.6,85,2,20,3,942.5
2002,1,6,0,24.6,17.5,21,88,4,20,2,942.9
2002,1,7,0,22.8,17.5,20.2,84,4,20,3,943.4
2002,1,8,0,21.2,17,19.1,84,5,20,5,943.7
2002,1,9,0,21.4,18,19.7,86,4,40,4,943.6
2002,1,10,0,21.5,17.7,19.6,84,2,20,4,942.6
2002,1,11,1,23,16.3,19.7,86,2,20,5,940.8
2002,1,12,0,23.8,17.5,20.7,84,3,360,5,939.5
2002,1,13,0,26.7,19,22.9,89,2,10,6,938.6
2002,1,14,0,24.9,19.9,22.4,90,2,40,4,939.8
2002,1,15,0,24.1,20.8,22.5,97,2,40,5,940.2
2002,1,16,0,24.5,20.6,22.5,97,2,70,4,940
2002,1,17,0,26.2,21,23.6,90,1,70,4,938.8
2002,1,18,0,26,19.7,22.9,87,2,20,3,939.1
2002,1,19,0,26.1,19.4,22.8,86,3,70,3,939.8
2002,1,20,0,26.2,19.7,23,88,2,20,3,940.8
2002,1,21,0,26.1,19.5,22.8,80,1,20,3,940
2002,1,22,0,22.4,18.3,20.4,87,3,20,6,940.9
2002,1,23,0.6,22.4,18.7,20.5,92,5,40,5,941.2
2002,1,24,0,21.1,19.1,20.1,95,5,40,6,941.1
2002,1,25,0,22,19.6,20.8,97,3,40,6,940.7
2002,1,26,0,26.2,19.9,23,90,2,20,6,940.6
2002,1,27,0,26.3,19,22.7,88,3,90,3,941
2002,1,28,0,25.4,19,22.2,88,3,40,3,942.1
2002,1,29,0,22.5,19.2,20.9,93,2,40,6,942.4
2002,1,30,1,23.5,19,21.3,87,2,20,4,942.4
2002,1,31,30,21.2,18.5,19.9,93,2,20,8,942.4
2002,2,1,25.1,25.3,17.5,21.4,92,3,40,6,942.6
2002,2,2,0,24.5,16.3,20.4,85,2,40,4,942.2
2002,2,3,0,25,18.4,21.7,80,2,40,3,941.5
2002,2,4,0,23.4,18.2,20.8,87,2,40,3,940.6
2002,2,5,0,25,18.1,21.5,88,2,40,3,939.9
2002,2,6,0,24,19.6,21.8,82,1,20,4,940.2
2002,2,7,1,24.8,19.5,22.2,88,3,40,5,940.1
2002,2,8,16.8,24.5,19.7,22.1,87,2,40,8,940
2002,2,9,8.3,24.2,19.8,22,95,2,40,7,938.8
2002,2,10,0,26.4,19.3,22.9,94,2,70,5,939.7
2002,2,11,0,21.6,18.2,19.9,92,3,80,6,941.4
2002,2,12,2,22.2,18.1,20.2,93,3,40,7,941.9
2002,2,13,1,21.8,19,20.4,92,3,40,6,941.8
2002,2,14,3,22,17.9,20,92,4,20,5,942.5
2002,2,15,1.2,22.5,17.5,20,92,4,40,7,942.1
2002,2,16,0,23.6,17.8,20.7,83,5,40,4,942.5
2002,2,17,0,24.8,17.8,21.3,84,4,40,3,942.9
2002,2,18,0,23.9,18.5,21.2,86,3,20,3,944.6
2002,2,19,0,21.1,19.2,20.2,88,5,20,5,944.1
2002,2,20,0,20.5,17.2,18.9,90,5,20,6,944.2
2002,2,21,0,24,20.2,22.1,80,3,20,4,944.6
2002,2,22,0,26,18.7,22.4,81,2,20,3,944.4
2002,2,23,0,26.1,19,22.5,91,2,90,4,942.6
