recorded_time,station,pm25,pm10,is_published
2017-01-01 02:00:00,7,321.79,254.11,1
2017-01-01 03:00:00,7,294.69,234.69,1
2017-01-01 04:00:00,7,179.18,120.19,1
2017-01-01 05:00:00,7,340.24,271.45,1
2017-01-01 06:00:00,7,112.18,153.27,1
2017-01-01 07:00:00,7,,61.58,1
2017-01-01 08:00:00,7,15.0,35.69,1
2017-01-01 09:00:00,7,12.39,25.02,1
2017-01-01 10:00:00,7,2.4,23.87,1
2017-01-01 11:00:00,7,14.02,22.88,1
2017-01-01 12:00:00,7,,15.48,1
2017-01-01 13:00:00,7,6.83,16.31,1
2017-01-01 14:00:00,7,10.89,22.33,1
2017-01-01 15:00:00,7,8.24,15.2,1
2017-01-01 16:00:00,7,13.77,19.15,1
2017-01-01 17:00:00,7,7.68,20.99,1
2017-01-01 18:00:00,7,11.96,22.53,1
2017-01-01 19:00:00,7,7.85,24.04,1
2017-01-01 20:00:00,7,1.24,7.99,1
2017-01-01 21:00:00,7,9.95,17.58,1
2017-01-01 22:00:00,7,3.91,22.38,1
2017-01-01 23:00:00,7,6.53,11.73,1
2017-02-01 00:00:00,7,13.64,29.23,1
2017-02-01 01:00:00,7,17.13,24.87,1
2017-02-01 02:00:00,7,19.06,17.17,1
2017-02-01 03:00:00,7,22.28,20.36,1
2017-02-01 04:00:00,7,22.89,21.57,1
2017-02-01 05:00:00,7,32.51,43.49,1
2017-02-01 06:00:00,7,50.36,41.49,1
2017-02-01 07:00:00,7,9.01,30.18,1
2017-02-01 08:00:00,7,13.51,34.47,1
2017-02-01 09:00:00,7,28.23,33.89,1
2017-02-01 10:00:00,7,32.07,48.12,1
2017-02-01 11:00:00,7,11.34,31.65,1
2017-02-01 12:00:00,7,15.7,23.61,1
2017-06-01 10:00:00,7,17.07,,1
2017-06-01 11:00:00,7,3.97,,1
2017-06-01 12:00:00,7,5.66,,1
2017-06-01 14:00:00,7,13.3,,1
2017-06-01 15:00:00,7,7.24,,1
2017-06-01 16:00:00,7,17.91,,1
2017-06-01 17:00:00,7,9.15,,1
2017-06-01 18:00:00,7,18.24,,1
2017-06-01 19:00:00,7,10.66,,1
2017-06-01 20:00:00,7,8.27,,1
2017-06-01 21:00:00,7,6.5,,1
2017-10-01 11:00:00,7,70.03,,1
2017-10-01 12:00:00,7,87.37,211.71,1
2017-10-01 13:00:00,7,120.23,105.86,1
2017-10-01 14:00:00,7,21.22,33.5,1
2017-10-01 15:00:00,7,17.43,15.1,1
2017-10-01 16:00:00,7,11.4,18.89,1
2017-10-01 17:00:00,7,6.81,19.61,1
2017-10-01 18:00:00,7,12.73,22.36,1
2017-10-01 19:00:00,7,1.1,,1
2017-10-01 20:00:00,7,,10.31,1
2017-10-01 21:00:00,7,,5.03,1
2017-10-01 22:00:00,7,4.03,13.85,1
2017-11-01 00:00:00,7,,4.95,1
2017-11-01 01:00:00,7,13.53,34.64,1
2017-11-01 02:00:00,7,5.6,11.62,1
2017-11-01 03:00:00,7,9.46,9.53,1
2017-11-01 04:00:00,7,36.17,33.1,1
2017-11-01 05:00:00,7,61.36,60.23,1
2017-11-01 06:00:00,7,42.59,60.0,1
2017-11-01 07:00:00,7,37.44,45.06,1
2017-11-01 08:00:00,7,27.8,40.75,1
2017-11-01 09:00:00,7,10.44,24.54,1
2017-11-01 10:00:00,7,24.03,28.5,1
2017-11-01 11:00:00,7,0.59,8.33,1
2017-11-01 12:00:00,7,0.89,,1
2017-11-01 13:00:00,7,24.59,,1
2017-11-01 16:00:00,7,9.86,,1
2017-11-01 17:00:00,7,48.5,,1
2017-11-01 18:00:00,7,31.47,,1
2017-11-01 19:00:00,7,25.08,,1
2017-11-01 20:00:00,7,6.44,,1
2017-11-01 21:00:00,7,8.08,,1
2017-11-01 22:00:00,7,12.55,,1
2017-11-01 23:00:00,7,39.06,,1
2017-12-01 00:00:00,7,43.21,,1
2017-12-01 01:00:00,7,69.62,,1
2017-12-01 02:00:00,7,47.28,,1
2017-12-01 03:00:00,7,61.97,,1
2017-12-01 04:00:00,7,38.31,,1
2017-12-01 05:00:00,7,2.9,,1
2017-12-01 07:00:00,7,44.4,,1
2017-12-01 09:00:00,7,17.75,,1
2017-12-01 11:00:00,7,23.73,,1
2017-12-01 13:00:00,7,1.54,,1
2017-12-01 14:00:00,7,19.71,,1
2017-12-01 16:00:00,7,13.8,,1
2017-12-01 17:00:00,7,39.07,,1
2017-12-01 18:00:00,7,20.39,,1
2017-12-01 19:00:00,7,16.23,,1
2017-12-01 20:00:00,7,6.57,,1
2017-12-01 21:00:00,7,14.17,,1
2017-12-01 22:00:00,7,11.39,,1
2017-12-01 23:00:00,7,30.77,,1
2017-01-13 00:00:00,7,1.93,,1
2017-01-13 01:00:00,7,25.89,,1
2017-01-13 02:00:00,7,20.01,,1
2017-01-13 03:00:00,7,17.94,,1
2017-01-13 04:00:00,7,39.68,,1
2017-01-13 05:00:00,7,71.59,,1
2017-01-13 06:00:00,7,115.46,,1
2017-01-13 07:00:00,7,190.19,,1
2017-01-13 09:00:00,7,7.16,,1
2017-01-13 10:00:00,7,25.65,,1
2017-01-13 11:00:00,7,13.69,,1
2017-01-13 13:00:00,7,3.66,,1
2017-01-13 14:00:00,7,12.43,,1
2017-01-13 15:00:00,7,20.37,,1
2017-01-13 16:00:00,7,18.84,,1
2017-01-13 17:00:00,7,23.55,,1
2017-01-13 18:00:00,7,15.98,,1
2017-01-13 19:00:00,7,15.17,,1
2017-01-13 20:00:00,7,25.4,,1
2017-01-13 21:00:00,7,18.13,,1
2017-01-13 22:00:00,7,12.41,,1
2017-01-13 23:00:00,7,21.95,,1
2017-01-14 00:00:00,7,8.29,,1
2017-01-14 01:00:00,7,14.27,,1
2017-01-14 02:00:00,7,43.9,,1
2017-01-14 03:00:00,7,10.06,,1
2017-01-14 04:00:00,7,24.89,,1
2017-01-14 05:00:00,7,40.25,,1
2017-01-14 06:00:00,7,58.52,,1
2017-01-14 07:00:00,7,54.96,,1
2017-01-14 08:00:00,7,7.8,,1
2017-01-14 09:00:00,7,44.39,,1
2017-01-14 10:00:00,7,49.51,,1
2017-01-14 13:00:00,7,25.62,,1
2017-01-14 14:00:00,7,11.55,,1
2017-01-14 15:00:00,7,16.21,,1
2017-01-14 16:00:00,7,34.78,,1
2017-01-14 17:00:00,7,23.15,,1
2017-01-14 18:00:00,7,26.01,,1
2017-01-14 19:00:00,7,9.9,,1
2017-01-14 20:00:00,7,2.81,,1
2017-01-14 21:00:00,7,6.9,,1
2017-01-14 22:00:00,7,11.23,,1
2017-01-15 01:00:00,7,3.74,,1
2017-01-15 02:00:00,7,11.93,,1
2017-01-15 03:00:00,7,17.14,,1
2017-01-15 04:00:00,7,11.36,,1
2017-01-15 05:00:00,7,2.71,,1
2017-01-15 06:00:00,7,36.9,,1
2017-01-15 07:00:00,7,30.92,,1
2017-01-15 09:00:00,7,40.39,,1
2017-01-15 10:00:00,7,8.46,,1
2017-01-15 11:00:00,7,37.51,,1
2017-01-15 12:00:00,7,32.19,,1
2017-01-15 13:00:00,7,18.58,,1
2017-01-15 14:00:00,7,30.77,,1
2017-01-15 15:00:00,7,23.67,,1
2017-01-15 16:00:00,7,35.51,,1
2017-01-15 17:00:00,7,48.21,,1
2017-01-15 18:00:00,7,41.56,,1
2017-01-15 19:00:00,7,2.98,,1
2017-01-15 20:00:00,7,17.53,,1
2017-01-15 21:00:00,7,15.41,,1
2017-01-15 22:00:00,7,21.91,,1
2017-01-15 23:00:00,7,19.58,,1
2017-01-16 00:00:00,7,22.05,,1
2017-01-16 01:00:00,7,18.62,,1
2017-01-16 02:00:00,7,8.0,,1
2017-01-16 03:00:00,7,4.42,,1
2017-01-16 04:00:00,7,9.74,,1
2017-01-16 05:00:00,7,2.2,,1
2017-01-16 06:00:00,7,4.83,,1
2017-01-16 09:00:00,7,28.94,,1
2017-01-16 10:00:00,7,8.97,,1
2017-01-16 11:00:00,7,10.33,,1
2017-01-16 13:00:00,7,13.67,,1
2017-01-16 15:00:00,7,29.96,,1
2017-01-16 16:00:00,7,7.55,,1
2017-01-16 17:00:00,7,10.76,,1
