recorded_time,station,pm25,pm10,is_published
2017-01-01 00:00:00,11,135.68,140.89,1
2017-01-01 01:00:00,11,307.26,328.03,1
2017-01-01 02:00:00,11,233.75,250.03,1
2017-01-01 03:00:00,11,396.51,408.65,1
2017-01-01 04:00:00,11,339.47,346.93,1
2017-01-01 05:00:00,11,269.71,300.7,1
2017-01-01 06:00:00,11,113.57,128.95,1
2017-01-01 07:00:00,11,31.95,41.23,1
2017-01-01 08:00:00,11,19.92,19.17,1
2017-01-01 09:00:00,11,12.71,21.11,1
2017-01-01 10:00:00,11,8.78,16.64,1
2017-01-01 11:00:00,11,-5.26,12.33,1
2017-01-01 12:00:00,11,-0.37,13.28,1
2017-01-01 13:00:00,11,8.68,20.06,1
2017-01-01 14:00:00,11,7.24,15.81,1
2017-01-01 15:00:00,11,5.9,17.14,1
2017-01-01 16:00:00,11,8.58,13.8,1
2017-01-01 17:00:00,11,8.16,15.92,1
2017-01-01 18:00:00,11,7.76,14.5,1
2017-01-01 19:00:00,11,21.23,17.52,1
2017-01-01 20:00:00,11,15.24,21.64,1
2017-01-01 21:00:00,11,14.07,14.2,1
2017-01-01 22:00:00,11,14.48,25.21,1
2017-01-01 23:00:00,11,21.41,28.09,1
2017-02-01 00:00:00,11,17.56,24.13,1
2017-02-01 01:00:00,11,16.54,20.2,1
2017-02-01 02:00:00,11,9.91,20.53,1
2017-02-01 03:00:00,11,13.82,0.05,1
2017-02-01 04:00:00,11,20.16,3.79,1
2017-02-01 05:00:00,11,11.58,6.46,1
2017-02-01 06:00:00,11,5.12,10.76,1
2017-02-01 07:00:00,11,10.99,13.92,1
2017-02-01 08:00:00,11,11.25,17.37,1
2017-02-01 09:00:00,11,11.59,21.79,1
2017-02-01 10:00:00,11,15.37,28.71,1
2017-02-01 11:00:00,11,10.38,15.94,1
2017-02-01 12:00:00,11,13.13,28.68,1
2017-02-01 13:00:00,11,17.25,32.49,1
2017-02-01 14:00:00,11,16.84,24.8,1
2017-02-01 15:00:00,11,7.83,20.17,1
2017-02-01 16:00:00,11,9.43,21.95,1
2017-02-01 17:00:00,11,8.38,18.45,1
2017-02-01 18:00:00,11,11.95,18.71,1
2017-02-01 19:00:00,11,11.55,21.94,1
2017-02-01 20:00:00,11,15.81,18.62,1
2017-02-01 21:00:00,11,14.27,16.64,1
2017-02-01 22:00:00,11,18.33,25.88,1
2017-02-01 23:00:00,11,19.8,25.69,1
2017-03-01 00:00:00,11,21.83,28.37,1
2017-03-01 01:00:00,11,11.77,19.26,1
2017-03-01 02:00:00,11,23.59,34.84,1
2017-03-01 03:00:00,11,15.72,18.44,1
2017-03-01 04:00:00,11,28.99,28.46,1
2017-03-01 05:00:00,11,24.47,34.94,1
2017-03-01 06:00:00,11,21.03,29.18,1
2017-03-01 07:00:00,11,22.44,40.12,1
2017-03-01 08:00:00,11,56.93,75.6,1
2017-03-01 09:00:00,11,34.85,51.31,1
2017-03-01 10:00:00,11,15.21,27.65,1
2017-03-01 11:00:00,11,1.29,15.64,1
2017-03-01 12:00:00,11,13.05,29.44,1
2017-03-01 13:00:00,11,12.69,24.93,1
2017-03-01 14:00:00,11,7.62,21.8,1
2017-03-01 15:00:00,11,9.5,19.53,1
2017-03-01 16:00:00,11,12.93,28.75,1
2017-03-01 17:00:00,11,10.73,19.68,1
2017-03-01 18:00:00,11,13.57,29.29,1
2017-03-01 19:00:00,11,17.44,33.48,1
2017-03-01 20:00:00,11,13.48,37.14,1
2017-03-01 21:00:00,11,24.86,33.03,1
2017-03-01 22:00:00,11,19.19,36.26,1
2017-03-01 23:00:00,11,25.79,40.12,1
2017-04-01 00:00:00,11,15.91,26.6,1
2017-04-01 01:00:00,11,20.22,26.8,1
2017-04-01 02:00:00,11,20.4,32.72,1
2017-04-01 03:00:00,11,11.73,24.04,1
